Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,we're rolling.,,,
A,"I, uh,",,,
A,"what, what would you, what would, has your experience lead you to advise, uh, if my child were thinking of going to the Air Force Academy,",,,
A,what would you say?,,,
B,"Well, I'd encourage it.",,,
A,Uh-huh.,,,
B,"It's a good general education for a, a bachelor's degree.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"And obviously, and obviously it's where they don't have a, any post graduate program there,",,,
B,"but you get a, an excellent, wide, uh, basis of topics.",,,
B,"You know, you get a good broad education out of it.",,,
A,Uh-huh.,,,
B,"You don't, they don't graduate the best engineers or the best English majors, but maybe a graduate pretty good overall students out of there.",,,
A,Uh-huh.,,,
A,"Uh-huh,",,,
A,"uh-huh,",,,
A,uh-huh.,,,
B,"Uh,",,,
A,"How do you feel about,",,,
A,it must be a somewhat different environment from a regular college.,,,
A,"How does that, uh,",,,
A,"how do you feel that is for someone at, at that phase in their life?",,,
B,"Well, the for some people, it's good because they maybe they need a little discipline, need a little reining in at that, that stage in their life.",,,
B,"Uh, other people,",,,
B,"it, uh, it's, uh, suffocating,",,,
A,Uh-huh.,,,
B,"you know, you kind of choke on it",,,
A,"Uh-huh,",,,
A,"uh-huh,",,,
A,uh-huh.,,,
B,"uh, it, it depends on the person, on the individual,",,,
A,Uh-huh.,,,
B,"but, uh, the one factor I think more than anything else in this day and age that's got to be a big factor in your decision's just the, the cost of, how much you're going to pay no matter where you go to school.",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"And if you've been in for twelve years, I'm sure you've, you've got a, your share of student loans that, uh, you're probably going to be paying off or have been",,,
B,"or,",,,
A,"Well, I sort of,",,,
A,"one of the reasons it's taken so long is I've been working all, you know, sort of half student, half working and source of income and stuff,",,,
B,Uh-huh.,,,
A,so I'm actually managing to do this with zero debt.,,,
B,"Oh, that's good.",,,
A,"Uh, I couldn't, you couldn't do it otherwise.",,,
B,"Oh, I mean I know people that graduated, or that I went to high school with that went to civilian colleges",,,
B,"and they, they've got twenty, thirty thousand dollar debts,",,,
B,"I mean you could have, uh,",,,
