Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"So, do you, your privacy being invaded at any time?",,,
B,"Well, uh, one of the things that, uh, that I found to be, uh, an invasion is when I pay for something with a credit card and they ask me to put my telephone number on the, on the, uh, credit card bill.",,,
B,That  is something that is not required,,,
A,"Well,",,,
A,Right.,,,
B,"and, in fact, uh, it is actually prohibited",,,
B,"but it doesn't stop many people many people from, uh, from doing it.",,,
B,"And it's one of the things that it's used for, primarily, is for demographic, uh, research.",,,
B,"And to get your, your phone number on, uh, uh, lists for phone solicitations.",,,
A,Yeah.,,,
A,Yeah.,,,
A,"Now that you can still, yeah,",,,
A,I've always done that.,,,
A,"I started,",,,
A,once I found out that that's really not necessary or legal then I just refuse,,,
A,and I say what are you going to do.,,,
A,You going to say you don't want to sell me this product  then  that's fine.,,,
B,Uh-huh.,,,
A,I'll just buy it somewhere else or not buy it at all.,,,
A,"And then, ultimately, they say, no",,,
A,you don't have to put it down,,,
A,"But, uh, really it's part of this compliance thing.",,,
B,Uh-huh.,,,
A,"Uh, the thing I don't like,",,,
A,"I know that certain states actually sell their, uh, their lists like, uh, motor vehicles.",,,
B,Uh-huh.,,,
A,"That really burns me because, hey, you're required.",,,
A,You have to do that.,,,
B,Right.,,,
A,And nowhere does it say you asks you whether you have permission or not to sell your name or information regarding that to anyone.,,,
B,Uh-huh.,,,
A,"And I think that, it, it's one thing to, uh, voluntarily give it because someone asks.",,,
A,You can always refuse,,,
A,but it's another thing where it's required by law,,,
A,"and then they go ahead and take that information and sell it to somebody.  You know,",,,
B,Right.,,,
B,"Uh, That,",,,
A,"I don't think, I don't think they have the right to do that.",,,
B,I agree with you there.,,,
B,"That's something that, uh, people have seen.",,,
B,"Oh, here's an easy way to make some money.",,,
B,"But, uh, I don't know if that's been challenged in the courts or not.",,,
B,"I, I've heard, fairly recently, uh, some talk about that in this, in, in my state.",,,
B,"Uh, the budget problems up here are, are pretty tense.",,,
B,"And people are looking for alternate ways of, uh,",,,
B,"enhancing revenue is the, uh, phrase they use.",,,
B,And they were talking about selling the D M V lists,,,
B,"and there was a lot of, uh, a lot of, uh, consternation about that",,,
B,and the last I heard they'd backed down from that idea.,,,
B,"But it really makes you wonder what other lists you're own that have been made, uh, public that you, don't know about.",,,
A,"Well, that's easy.",,,
A,Whenever you donate money to someone?,,,
B,Uh-huh.,,,
A,"They, you become, put on something like a sucker list",,,
A,and you start getting millions of calls or solicitations.,,,
B,Right.,,,
A,And then you,,,
A,it kind of makes you feel from doing it again.,,,
B,Uh-huh.,,,
A,"Like, uh, National Public Radio or any of these, the public, uh, stations, you know.",,,
B,Uh-huh.,,,
A,"I, I, I, I think I sent in, in money for, once to, uh, to public, uh, T V.",,,
B,Uh-huh.,,,
A,And I started getting calls from all sorts of diseases and syndromes and everything you could imagine.,,,
B,Huh.,,,
A,"I,",,,
A,it's like,,,
A,and it just started soon after I had done that one.,,,
B,Right.,,,
A,"And I just said this is, this is terrible",,,
A,"Uh, and that's also happened to me where I've given money to my old Alma Mater in college.",,,
B,Uh-huh.,,,
A,"And, uh, it's one thing,",,,
A,they don't sell the list.,,,
A,"But the thing that makes me mad is, uh, then they start getting, uh, other people,",,,
A,the people do these phonathons,,,
B,Right.,,,
A,and they call you up,,,
A,"and they actually happen to be people who are, graduated in your class or something like that.",,,
A,"And, and they say, oh, we, we know you.",,,
A,"You, uh, had, uh, contributed x amount last year.",,,
A,Can you do better this year?,,,
A,"And, you know, like hold on here.",,,
B,How do you know that?,,,
A,"Who, how do you know that?",,,
A,"Why, why you even telling me this?",,,
A,Is it any of your business?,,,
A,"I mean, it's one thing that I, and the college knows that",,,
A,"that's, just our business.",,,
A,There's no need for  someone  who is soliciting should know at all.,,,
B,Uh-huh.,,,
A,"Just, uh,",,,
A,and that was very offensive too.,,,
A,"I,",,,
A,and so very,,,
B,"Last year, the, uh, Lotus Development Company, the, uh company that puts out One, Two, Three was planning on marketing a, uh, C D Rom with people's names sorted by number of different criteria.",,,
A,Uh-huh.,,,
A,Right,,,
