Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"So, how is the weather out there?",,,
B,"Uh, it's really cold",,,
B,and it's supposedly for this time of the year it's unseasonably cold,,,
B,and they've gotten more snow than they've ever had.,,,
A,"Oh, really?",,,
B,"You have, breaking records for coldness and all that kind of stuff.",,,
B,How about you guys?,,,
A,"Um. Uh, it's just, it's a, it's about same.",,,
A,"The usual, I think.",,,
B,Oh.,,,
A,"So, nice for skiing and all that kind of stuff",,,
A,It's good.,,,
B,"Yeah,",,,
B,"well the weather, let's see, well, the snow here is different from Utah's,",,,
B,because I have lived in Utah for like ten years.,,,
A,"Oh, really?",,,
A,What part?,,,
B,"And, uh,",,,
B,Provo.,,,
B,I was going to B Y U.,,,
A,"Oh, really?",,,
A,Okay.,,,
B,Yeah.,,,
B,"And, uh, the snow is like, really cold.",,,
B,"I mean, it's, like, really humid",,,
B,so it seems wetter or something like that.,,,
B,"It's,",,,
A,It's more humid in Utah than there?,,,
B,Uh-huh.,,,
A,Or there?,,,
B,It's more humid in Iowa than Utah.,,,
A,Okay.,,,
A,Right.,,,
B,Yeah.,,,
A,Okay.,,,
B,"And it seems like when the winds blow, it's really, it goes right through you.",,,
B,It's really different from Utah's weather.,,,
B,"I thought Utah was cold,",,,
B,but I think Iowa is a lot colder,,,
A,"Yeah,",,,
A,"see, that's how it is in Texas, too",,,
A,"because when it's cold, it's really cold.",,,
A,"So,",,,
B,"Yeah,",,,
B,I don't think there is any mountains to stop the wind,,,
A,What's that?,,,
B,I don't think there is any mountains to stop the wind.,,,
A,Right.,,,
A,Yeah.,,,
A,So the humidity is I think what does it,,,
B,"Yeah,",,,
B,I think that's true.,,,
A,"Because I, I noticed when I got here, too,",,,
A,"because like I'd,",,,
A,"when it would snow in Texas uh, I would just, I mean we'd be really cold",,,
B,Uh-huh.,,,
A,"and we'd have to get really warm,",,,
A,and here you can almost not even wear a coat outside when it's snowing,,,
A,and you don't you don't feel super cold.,,,
B,"Yeah,",,,
B,"yeah,",,,
B,that's true.,,,
A,It was weird.,,,
B,Yeah.,,,
A,"But, so how long ago did you graduate?",,,
A,"Or did you,",,,
A,"or,",,,
