Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,"Well, I'll tell you why I feel so,",,,
B,I feel strongly about this topic.,,,
B,I don't know a whole lot about the immigration laws.,,,
B,"But I do know that in the, where I live and I teach school, there are so many Orientals that have come here",,,
B,"and there's a lot of Mexican people too. Which is not, neither here nor there,",,,
B,"but the fact is that all the Orientals that are here are very affluent, uh, very wise in money matters and have have taken over a lot of businesses,",,,
B,"and have,",,,
B,"Really,",,,
B,it's kind of scary because they're so bright.,,,
B,"They're, all the kids that I have that are Oriental are really far above the American kids.",,,
B,"And they,",,,
B,"and the, the parents are unbelievable because they are just on the way up.",,,
B,And money is their main goal.,,,
B,"And it's it really is kind of scary because there's, there's just oodles of them.",,,
B,And you can not believe the businesses and corporations that have been taken over by Orientals.,,,
B,"And it's it's kind of scares me, not that I don't want them here and not that I don't appreciate the fact that, you know, that they have rights too.",,,
B,"But on the other hand, you feel like almost they're, they're invading us to the point where they're going to take over",,,
A,Right.,,,
A,"Actually my son once said that, that, perhaps, uh, what we should do is, is buy a little square of land some place in the Midwest.",,,
A,"And, and that might be the solution",,,
B,"I think probably that's,",,,
A,Uh-huh.,,,
B,"And I was born in Ohio,",,,
A,Uh-huh.,,,
B,"so  it, it really",,,
B,"and there is, there are a lot of Mexican people here because we're so close to the border.",,,
A,Uh-huh.,,,
B,"And, and they are wonderful people",,,
B,"and, and I'm not, you know, I don't want to deny them their rights.",,,
B,"Just that you, you feel like when you were born and raised here and you worked very hard to make this country what it is, uh, it scares you when you feel like somebody's taking over.",,,
B,"And a lot of these people plan one day to go back, you know, to, to Vietnam or to, you know, Taiwan or wherever they're from. And take with them a lot of American dollars plus a lot of power in American companies.",,,
B,And it's kind of scary,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"And, you know,  I don't know,",,,
B,"I don't know the immigration laws that, uh, that",,,
B,"well and I do not,",,,
B,and in fact I don't know them at all.,,,
B,"I don't know how many people they allow in the United States per year or if there's even a,",,,
B,I don't even know if there is a number that they allow in anymore.,,,
B,Do you know anything about  that?,,,
A,"No,",,,
A,"I don't,",,,
A,I don't know.,,,
A,I lived in the Middle East for sometime,,,
A,"and I, I  do  believe there must have been some sort of quota system because, uh, I know a lot of people that were, in a sense, not, qualified is the wrong word, but certainly were deserving to come.",,,
B,Oh.,,,
B,Uh-huh.,,,
A,And  it seemed to take them a long time,,,
A,"or, or there was a lot of uncertainty as to whether they would be able to come",,,
B,Yeah.,,,
A,"And so I would guess that, you know, there are quotas for different places.",,,
B,I would think so too.,,,
B,"It,",,,
A,"You know, I, I, I think there's something about being able to, to claim, um, imminent danger",,,
A,"or, I'm not sure what the terminology is.",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
A,Maybe political,,,
B,"Asylum, of some sort.",,,
A,Yeah.,,,
A,"There, there you go.",,,
A,You got the term.,,,
B,Uh-huh.,,,
A,"And maybe that's a, an issue with a, a lot of people.",,,
A,I don't know.,,,
A,"I, I guess I haven't been in a situation where it's, it's been threatening to, to me. Uh,",,,
B,"and, and, uh, my kids go to school in another suburb of Dallas. And, with very, very good school systems.",,,
B,"And they're considered, you know one of the top three in the state. Both of them, you know.",,,
A,Uh-huh.,,,
B,And it seems like a lot of the Orientals make sure that their kids go to these schools.,,,
A,Uh-huh.,,,
B,And they're head and shoulders above a lot of the kids here.,,,
B,"And the kids in this area are very bright. And come from, you know, parents that are professionals or semiprofessionals and, and, uh, very interested in their education.",,,
B,"But, uh, I think in the, last year, I'm not, if I'm not mistaken, in four of the six high schools, the graduating class valedictorian and salutatorian were, uh, half or more Oriental.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"And, you know, they're just extremely bright kids.",,,
B,And also they value learning.,,,
A,"I was going to say, I'm not I, I would guess that it's not that they are any brighter,",,,
A,but they just maybe work harder,,,
A,"or,",,,
B,"Well, I, I think things come easy for them too.",,,
B,But I do think that they have that work ethic that we somehow have missed the boat in with a lot of kids in the United States.,,,
B,"I don't, they, uh, don't want to work for anything.",,,
B,They want it to come to them but and be there,,,
B,but they don't want to work hard.,,,
B,And these kids work really hard.,,,
A,"Right,",,,
A,right.,,,
A,,,,
B,"And,  and they have,",,,
A,"but maybe part of that's the problem that here we've, we've let this value slip.",,,
B,Yeah.,,,
B,"I know,",,,
B,I agree with that.,,,
A,And they need to have some competition.,,,
B,But what I see is,,,
B,"the competition is there,",,,
B,"but instead of meeting the challenge, they're starting to resent them.",,,
A,Uh-huh.,,,
B,"And it's causing, you know, I think some, some problems.",,,
A,"Well, that's too bad.",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"And it's mainly Black and, and, and Hispanic.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"But, uh, there is some, there has been some resentment with Orientals in the Black community because they've started businesses there,",,,
B,"and the Blacks resent them coming in and taking their money,",,,
B,and there's been some violence because of it.,,,
A,"Oh, that's really sad.",,,
B,It is.,,,
B,"It's, it is very sad.",,,
A,Uh-huh.,,,
B,"So, you know, I really,",,,
B,"I, I've, I've always prided myself on not being prejudiced and being, you know, uh, welcome, welcoming everyone that wants to come here.",,,
A,Uh-huh.,,,
B,"And even when I was younger when I was in college, I was a member of the N A A C P because I lived up north,",,,
B,"and I was very into that, the human rights part of everything.",,,
A,Uh-huh.,,,
B,"But I, I've, I've become very cynical in the last three, four years living in Texas.",,,
A,Uh-huh.,,,
A,"Well, and it sounds like you feel that there is need for change.",,,
A,"Maybe the, uh, you know, the",,,
A,"there is too big of a concentration coming all at once to, to allow for adequate melting into the society.",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
B,"Well, and exactly,",,,
B,that's exactly true.,,,
B,"Plus the fact that these people do come for a short period of time. Two, two, three, four maybe five years and then go back. And pick our brains, which is wonderful, and take all that back with them.",,,
B,"And, and, uh, plus a lot of American dollars.",,,
B,"But in, in the long run maybe that's going to make a better world too.",,,
A,Right.,,,
B,"You know,  you just don't know.",,,
A,Exactly.,,,
B,"and yet, you know, with, uh, with, uh,",,,
B,there's somebody on my other line,,,
B,but I'm going to ignore  that.,,,
A,Oh.,,,
B,"Uh, anyway I just,",,,
B,"you, you kind of, you you really don't know what to do.",,,
B,"And, and I don't,",,,
B,I want my kids to have values where they're accepting and so forth.,,,
A,Uh-huh.,,,
B,"And both of my children are really more tolerant of Blacks and Hispanics than they are of the Orientals,  for  some reason.",,,
A,Um.,,,
B,"They feel, you know, like they've taken over.",,,
B,"They feel like, uh, you know, they're taking some of the, the rewards that they should have.",,,
A,Right.,,,
B,And I really don't want that to happen.,,,
A,"Right,",,,
B,"But,  but it's happening.",,,
A,right.,,,
A,Right.,,,
B,And I think a lot of their friends feel the same way too.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"So, and I really do wish I knew about quotas and really wish I",,,
A,Right.,,,
A,"I would, I would suspect that they have.",,,
A,"Well, I guess, um, I don't have much, much more to contribute to the topic.",,,
B,Yeah.,,,
B,I don't really either.,,,
B,I wish I knew more.,,,
A,Yeah.,,,
B,"Probably if I did, I might be a little bit more, uh, tolerant,  perhaps.",,,
A,Uh-huh.,,,
B,"And I,",,,
B,"and even if I, I really wish I knew the situations they were going back to or coming from.",,,
A,Uh-huh.,,,
B,You don't know any of that,,,
B,"and you feel, you know, you can't put yourself in their shoes or really understand them.",,,
A,Right.,,,
B,"Unless,",,,
B,"and for some reason Orientals are very, uh,",,,
B,"my good friend calls them pushy,",,,
B,"but I call them very, that",,,
B,they know what they want,,,
B,and they go get it.,,,
A,Uh-huh.,,,
B,"And in stores and so  and so forth  it's,",,,
A,Goal directed.,,,
B,pardon me?,,,
A,Goal directed.,,,
B,Yeah.,,,
B,"But in stores and things, sometimes they can be very impolite because they can, they get in front of you or they, uh, they take something that you had in mind to get before you did.",,,
A,Oh.,,,
A,I see.,,,
B,"You know, just going for it, they take it quickly.",,,
A,Uh-huh.,,,
B,"And, uh, they don't think anything of that.",,,
B,"And I don't, you know,",,,
B,that's makes people resentful too.,,,
B,"And so, And yet they have, they have a right to be here",,,
A,"Sure,",,,
A,sure.,,,
B,and I know that.,,,
A,Uh-huh.,,,
B,"But it's, it sometimes it's gets touchy.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"So, and I'm sure it's a lot different,",,,
B,"you're from Maryland,  You said?",,,
A,"Yes,",,,
B,What part of Maryland are you from?,,,
A,Up in the Gaithersburg area.,,,
B,"Oh, okay.",,,
B,"My sister used to live  there,  in that area.",,,
A,Uh-huh.,,,
B,"And I, I'm sure that it's a lot different there.",,,
B,"Uh, it's a lot different in than, in Iowa than  it is here.",,,
