Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,I guess its recording.,,,
A,"Um, what kind of hobbies do you have?",,,
A,Do you sing or knit or anything?,,,
B,"Well, I, um, I do cross-stitch",,,
B,and I enjoy reading and playing softball.,,,
A,Okay.,,,
A,"I, uh, I started knitting awhile ago,",,,
A,I knitted,,,
A,"I didn't know, even know what the stitch is called.",,,
A,"I just had this, uh, uh, piece of yarn",,,
A,and I wanted to start something,,,
A,so I remembered something I learned I think when I was five years old,,,
A,"So I kept doing that,",,,
A,and now I have a little blanket,,,
A,but that's all I've done.,,,
B,"Oh, really.",,,
A,Uh.,,,
B,"Well, I know that I learned how to knit one time and, um, made a few things",,,
B,but I haven't done it in so long that I probably wouldn't remember how,,,
A,Do you make sweaters and things or just blankets?,,,
B,"Well, if I remember I think we made some, like Christmas stockings,",,,
B,"you could make the, like the granny squares or whatever, and sew them together and make Christmas stockings and maybe some slippers or something like that.",,,
A,Uh-huh.,,,
A,Oh.,,,
A,I see.,,,
B,Nothing as big as a blanket.,,,
A,Huh.,,,
B,I know that my husband's grandmother does a lot of that.,,,
A,Uh-huh.,,,
B,And she makes a lot of afghans and all that kind of stuff,,,
B,"but,",,,
A,I probably won't make anything beyond this blanket,,,
A,I don't know why.,,,
A,It's just too time consuming.,,,
B,"Yeah,",,,
B,do you have any other hobbies?,,,
A,"Um, I like to sing.",,,
A,I've been trying to get some wedding gigs and things like that.,,,
B,"Oh, well that's good.",,,
A,"Um, right now my actual job is a news reporter.",,,
A,"But, uh, if I could do anything I wanted to do, it would be to sing professionally.",,,
A,"But um,",,,
B,So are you on the T V then?,,,
A,"Yes,",,,
A,uh-huh.,,,
B,Oh.,,,
A,"I'm in, uh,",,,
A,I work for channel six in Waco.,,,
B,"Oh, okay.",,,
A,And so I do little news reports and things.,,,
A,It's not as exciting as it as it sounds.,,,
A,"But, um,",,,
B,So you don't have too much time for hobbies?,,,
A,"No,",,,
A,"not much,",,,
A,"um, my day is usually pretty full.",,,
B,Yeah.,,,
A,"My schedule is like from nine to five thirty,",,,
A,"but I could be at work from anytime, you know, from nine until nine at night or ten or whatever,",,,
A,"so it's hard to make plans much less, you know, have a hobby.",,,
B,Yeah,,,
A,so. What do you do?,,,
B,Um.,,,
A,Normally.,,,
B,I'm a housewife.,,,
A,"Oh, okay.",,,
B,"So, unless the kids are asleep I don't get, usually get much done either",,,
A,Uh-huh,,,
B,"But I've made a, um, few things, cross-stitch things.",,,
B,I really enjoy doing that.,,,
A,Uh-huh.,,,
B,"And um, I made, uh, like stockings for both my children and a Christmas tree shirt and that, type of thing,",,,
A,Oh.,,,
B,and it just takes a long time to get it done,,,
B,"but, you know, once you've done something like that it kind of makes you feel good, to, to see it.",,,
A,Right.,,,
A,I I showed mine to my boyfriend,,,
A,"and he was like, you didn't make that.",,,
B,Really?,,,
A,"Oh, yeah,",,,
A,"it looks, uh, halfway decent",,,
A,"actually, first thing I did",,,
B,I guess you can make baby blankets that wouldn't take as long,,,
A,How many children do you have?,,,
B,Two.,,,
A,"Oh, okay.",,,
A,I hear them in the background there .,,,
B,Yeah,,,
A,"All right,",,,
A,that's a hobby in itself.,,,
B,Not quite,,,
A,A job in itself.,,,
B,"It's a fulltime job,",,,
B,yeah.,,,
A,"Right now I was just sitting here watching T V,",,,
A,I was getting ready to fall asleep.,,,
B,"So, um, have you sang at any weddings yet?",,,
A,"Yeah,",,,
A,I sang at one last summer.,,,
A,"Um, it was my first wedding.",,,
A,"I've done, um, little commercials and background singing",,,
A,"and, um, I sang all through college and things like that",,,
A,"but I really haven't done anything really, professional per se.",,,
B,Uh-huh.,,,
A,But I did one wedding last year,,,
A,"and, uh, I just now got some cards together, kind of, uh, business cards that say, singer,",,,
B,Uh-huh.,,,
A,"and what does it say, a song makes beautiful wedding or something,",,,
A,"and I've been passing them out to different wedding shops,",,,
A,"I mean when someone comes in, you know, for a wedding, for a wedding dress, and they, they might ask about it.",,,
B,"Oh, that's a good place,",,,
B,yeah.,,,
B,Uh-huh.,,,
A,"This one woman even wanted me to bring my tape in because I have a demo tape, you know, if any one wants to listen.",,,
B,Yeah.,,,
A,"And, uh, she wanted me to bring it in,",,,
A,she's going to play it on Saturday,,,
A,"so that would be great, if someone came and heard it, and they were like, I want that voice,",,,
B,Yeah,,,
A,"but, I haven't got any calls, yet",,,
B,"Well, that's good.",,,
A,but I only just put them out this week,,,
B,Yeah.,,,
A,"and it's the wedding season, I guess.",,,
B,"Oh, that's true.",,,
A,Uh-huh.,,,
B,"Make your hobby into a business, that would be pretty good, huh?",,,
A,"Yeah,",,,
A,that would be great.,,,
A,Then I could be getting paid for something I love to do.,,,
B,Yeah,,,
A,"Not that I don't like reporting,",,,
A,"but, I'd love it.",,,
B,"Did you have training in singing when you were, younger then",,,
B,"or,",,,
A,"No,",,,
A,"I've never, I've never had, uh, formal training.",,,
A,I've just been singing every chance I get.,,,
A,"I try, you know, in school",,,
B,Choirs and that kind of stuff?,,,
A,"and, yeah,",,,
A,choirs,,,
A,"and, um, when I was at U T, I was in a group called Ensemble One oh Nine, just twelve singers",,,
A,"and we did, uh, little conventions and, um, uh, like dinner parties and things like that.",,,
B,Huh.,,,
A,Sing pop music.,,,
B,"Well, that's nice.",,,
A,"So, that's what got me really, really interested in it.",,,
B,Uh-huh.,,,
A,"So I'm trying to be sensible, sensible, too, at the same time.",,,
B,"Yeah,",,,
B,not just give up your job and jump right into it,,,
A,"Yeah,",,,
A,exactly.,,,
A,My parents would have a fit probably.,,,
A,"But, uh, I think,",,,
A,"I either have a call or,",,,
A,"yeah,",,,
A,"I do have a call,",,,
A,hold on one second.,,,
B,Uh-huh,,,
A,Hello.,,,
B,Yes.,,,
A,"Yes,",,,
A,okay,,,
A,"that's my mother on the other line,",,,
A,"I need to go,",,,
B,Oh.,,,
A,"but, um, I think we are suppose to talk for ten minutes",,,
A,are we suppose to hear a beep or anything?,,,
B,"I don't know,",,,
B,I've only done this one other time,,,
B,and I thought that the man told me five minutes.,,,
A,"Oh, okay,",,,
A,my mother said ten minutes,,,
A,"so, I don't know.",,,
B,"Oh, okay.",,,
A,"But, uh,  okay",,,
A,"well, it was nice talking to you",,,
A,"and,  and good luck with your hobbies",,,
B,"It was nice talking to you, too,",,,
B,good luck with your singing.,,,
B,"Okay,",,,
B,bye.,,,
A,"Thanks,",,,
A,bye.,,,
