Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,"uh, I guess our topic is about movies",,,
B,Uh-huh.,,,
A,"and, uh, what is coincidence,",,,
A,we got a baby-sitter,,,
A,and we went to the movies that past weekend.,,,
B,"Oh, so did I",,,
A,And we saw CAPE FEAR.,,,
B,"Oh, I heard that was excellent.",,,
A,It is.,,,
B,Is it?,,,
A,It's really good.,,,
B,"Uh, I wanted to see that",,,
B,"I was deciding between that and, uh, MY GIRL",,,
B,"and, uh, my boyfriend and I went to see MY GIRL.",,,
A,"Oh, how was that?",,,
B,"Oh, it was excellent.",,,
B,"It was a really, really good movie.",,,
B,I'd recommend it.,,,
A,"I heard that's, a movie that, uh, you really can't take children.",,,
A,Is that true?,,,
B,"Uh, I heard the opposite that, uh, you should take children to see it.",,,
A,Oh.,,,
B,"Uh, there were quite a few, uh, kids in there with their parents.",,,
A,Oh.,,,
B,Yeah.,,,
B,"Uh, I don't know, though,",,,
B,"I, I've heard that, and then what you just told me",,,
B,"so,",,,
A,"Yeah,",,,
A,"yeah,",,,
A,"because, uh, the little boy dies.",,,
B,"Right,",,,
B,yeah.,,,
A,Yeah.,,,
B,It was sad.,,,
B,It was really sad.,,,
A,Oh.,,,
B,"But, uh, his, it kind of shows how his, uh, best friend, this little girl, deals with his death and how, I think, maybe, how children should deal with death.",,,
A,Oh.,,,
A,Oh.,,,
B,Maybe.,,,
A,Uh-huh.,,,
B,"But, it was really good.",,,
B,"It was sad, very sad.",,,
A,"Oh, I want to see that one.",,,
A,"Well, CAPE FEAR was, was more suspenseful.",,,
B,Yeah.,,,
A,It was really suspenseful.,,,
A,"So that, that's, that's a real good movie to see.",,,
B,"I heard it was, uh, sort of like, uh, not, uh, too violent,",,,
B,"but it was kind of like, uh, gross, kind of like, uh, SILENCE OF THE LAMBS, like.",,,
A,"Uh, no,",,,
A,"and it, uh, it was kind of,",,,
A,"I don't know,",,,
A,"it's kind of both, I guess,",,,
A,"but it's not, it's not as bad as SILENCE OF THE LAMBS.",,,
B,"Oh, really?",,,
A,"But, uh, it's just as suspenseful, I think.",,,
B,Oh.,,,
A,"And it, it was a real good movie.",,,
A,And then we saw BEAUTY AND THE BEAST Because we have two kids. And FIEVEL GOES WEST,,,
B,"Oh, yeah.",,,
B,Uh.,,,
B,"Oh, I've seen, uh, previews for them on T V,",,,
B,"but I,",,,
A,"But, uh, those were, those were okay,",,,
A,"so, And then, oh, boy, it's been, it's been so long since we've been to the movies,",,,
B,Yeah.,,,
A,"but I, we've rented some videos.",,,
B,"Oh, yeah,",,,
B,"I like to rent movies, too.",,,
A,"And I think the last one I rented was, uh, MORTAL THOUGHTS with Demi Moore.",,,
B,Oh.,,,
B,"Oh, I, I didn't see that.",,,
A,"And, uh, that, that, that's okay.",,,
A,That's pretty good.,,,
B,Yeah.,,,
A,"Oh, and, uh, WHAT ABOUT BOB?",,,
B,"I have seen that at the theatres,",,,
A,Yeah.,,,
B,yeah.,,,
A,"Yeah,",,,
A,we rented that one.,,,
B,"That, that was cute.",,,
A,"And, uh, uh, I guess that's about it.",,,
A,Have you rented any movies lately?,,,
B,"Uh, the last movie I rented was THE HARD WAY with Michael J. Fox",,,
B,"and, uh,",,,
A,"Oh, yeah,",,,
A,that was good.,,,
A,"We rented that one, too.",,,
B,"Yeah,",,,
B,I liked that.,,,
B,I like Michael J. Fox a lot.,,,
A,Uh-huh.,,,
A,Yeah.,,,
B,He's one of my favorites.,,,
A,Yeah.,,,
B,I like his movies.,,,
A,"So, do you go to the movies often,",,,
A,"or,",,,
B,"No,",,,
B,not too often.,,,
B,"I, I hadn't been to the movies for a really long time since last weekend.",,,
A,Uh-huh.,,,
B,"But, uh, there's been movies out that I've been wanting to see.",,,
B,"I just, you know, don't get a chance to get out and see them.",,,
A,"Yeah,",,,
A,"yeah,",,,
A,"well, we have two little kids,",,,
A,so it's hard for us to get out and go to the movies.,,,
A,We have to dig up a baby-sitter,,,
A,"and And that's only the only time we can go out,",,,
B,Oh I see.,,,
A,so our time is scarce.,,,
B,Yeah.,,,
B,Oh.,,,
A,"But, uh, we, we, we we, you know, we're, we're big movie people",,,
A,and we try and do,,,
B,Yeah.,,,
A,"and I don't, I don't know about the last movie I've seen on T V that was real good. Uh,",,,
B,"Oh, I watched that movie with, uh, Barbara, uh, uh,",,,
B,what was her name.,,,
B,"Oh,",,,
B,"that, uh, her sister got killed",,,
B,"and, uh, she had a baby.",,,
B,The husband was a dentist,,,
B,and he had murdered her.,,,
A,"Oh, yeah,",,,
A,"uh, Bertinelli, or what's her name.",,,
B,"That was, that was pretty good.",,,
B,"Yeah,",,,
B,"uh-huh,",,,
B,"oh, Valerie Bertinelli.",,,
A,"I can't,",,,
B,"That's it,",,,
B,yeah.,,,
A,"Yeah,",,,
A,"yeah,",,,
A,"yeah,",,,
A,yeah,,,
A,"Yeah,",,,
A,"that was real good,",,,
A,"I saw that one, uh, two part series,",,,
A,and I heard it was a true story.,,,
B,"Yeah,",,,
B,uh-huh.,,,
A,"Yeah,",,,
A,"I think that was probably the last movie I've seen, too.",,,
B,Yeah.,,,
A,"And, and then I saw that other movie about, uh, MOTHER, MOTHER, WIFE, MURDERER.",,,
A,Did you see that one?,,,
B,"Oh, uh, with, uh, Judith Light?",,,
