Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,So what movies have you seen lately?,major topic start,,Movies they have watched recently
B,"Well, I saw, um, lately I've seen SOAP DISH.",,,
A,Oh.,,,
B,"Which was a,",,,
B,and that was a lot of fun.,,,
B,It was kind of a silly little film about soap operas and things.,,,
A,"Well, see that's something I want to see,",,,
B,Yeah.,,,
A,that's on my list to see.,,,
B,"Yeah,",,,
B,"it was, it was okay.",,,
B,"It was not, um, not a wonderful film",,,
B,"but it was, I mean it was, it was cute but not the biggest laugh I've seen.",,,
A,"Oh, okay.",,,
B,"I saw THELMA AND LOUISE. A couple of days ago, and really liked that.",,,
A,"Oh, did you?",,,
B,Actually I saw it twice because I liked it so much.,,,
A,Oh.,,,
A,See that's also on my list.,,,
B,"And it's very, it's really disturbing but a good movie.",minor topic start,,Talks about the stereotypes of why it is not normal to see women in fight scenes
A,"A disturbing movie,",,,
A,how do you mean?,,,
B,"Well, it was,",,,
B,"um, let's see.",,,
B,"The, um,",,,
B,"it's, it's different,",,,
B,"it's kind of, it's an action adventure kind of, you know, shoot 'em up kind of film.",,,
A,Right.,,,
B,But it's with women in it instead of men,,,
B,so that's kind of a that's kind of a twist on the normal thing.,,,
A,"A switcheroo, huh?",,,
B,"And it made me think a lot about, you know,",,,
B,you would applaud Bruce Willis in DIE HARD if he was doing this,,,
B,"but you might not be so you know, so encouraging, of Susan Sarandon and then Gena Davis when they do it.",,,
A,Right.,,,
A,"When the shoe is on the other foot and see how it,",minor topic end,,
B,"So, that was kind of interesting.",,,
B,"I've,",,,
B,but I really enjoyed it.,,,
A,Oh.,,,
B,"So, I",,,
A,"Because that, that just reminds me of, you know, like back in school",off topic start,,anecdote
A,"and, you know, the girlfriends just taking off for a day or something. Just getting in trouble and probably not that much trouble",,,
B,"Yeah,",,,
B,that's kind of what it was.,,,
A,"but,",,,
B,Right.,,,
A,"um, yeah.",,,
B,"They had started out with that,",,,
B,then they got into lots of trouble.,,,
A,Before we found the shopping malls that's what we did.,off topic end,,
B,Uh-huh.,,,
A,"Yeah,",,,
A,"well, I'll have to put that, I'll have to keep that on my list then.",,,
B,Yeah.,,,
B,I also saw that Madonna movie.,minor topic start,,Criticize the actress - Madonna
A,Oh.,,,
B,It's TRUTH OR DARE,,,
B,and that was pretty scandalous.,,,
A,Scandalous?,,,
B,"Yeah,",,,
B,"it was kind of,",,,
B,"yeah,",,,
B,Madonna she's pretty trashy.,,,
A,I can imagine.,,,
B,"And so it was, it was interesting",,,
A,"I guess she does it for the social value of showing you what trash is, huh?",,,
B,"well, I think she kept saying that, uh,",,,
B,"they talked about her,",,,
B,"it, it was a film of her concert, um, tour she had taken through all, all around the world.",,,
B,"And they were all to her at the Vatican city and wouldn't let her perform in Rome,",,,
B,"and she, kept saying that her show was not garbage.",,,
A,Huh.,,,
