Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Afternoon, Doug,",opening,,Introduction and how Doug got here
A,"it certainly is, uh, going to be a pleasure to chat with you.",,,
B,Uh-huh.,,,
A,"And I'm, uh, certainly was surprised to, uh, to hear from you.",,,
A,"Normally I talk to people in Plano, Texas.",,,
B,"Yeah,",,,
B,me too.,,,
A,How did you get on this list?,,,
B,"Uh, through Nancy Dahlgren.",,,
B,"She, um, she had somehow gotten the information from T I and was distributing it around.",,,
A,"Well, okay.",,,
A,All right.,opening,,
A,"Well, now, what would you say about these everyday invasions of our privacy?",major topic start,,Invasion of privacy
A,"What ideas do you have on that, Doug?",,,
B,"Um, see, I'm not sure that,",,,
B,"I don't think they're necessarily widespread in this country,",,,
B,"but I think that the opportunity is definitely there for, um, people to invade your privacy when they want to,",,,
B,"I think it's, um,",,,
A,In what manner?,,,
B,"Well, it's certainly not that difficult to tap a phone.",,,
B,"It's completely trivial to, for instance, listen in on someone's car phone or walk around phone, since they're just radio signals.",,,
A,Uh-huh.,,,
B,"It's, um,",,,
B,"and let's see,",,,
B,"well, what's the first thing that comes to your mind?",,,
A,"Well, the thing that I thought they were, uh, concerned about was, was people calling on the phone from all over the country to sell you something",,,
B,Uh-huh.,,,
A,"and in reality in many cases, they knew, or they had information about you that was purchased from some other organizations.",,,
A,"And I thought was, uh, beginning to invade the privacy of people, because the things about where you live and, and maybe what you purchased in past months is then put down and sent to someone else in the same business,",,,
A,"and they in return, come back and try to sell you something with this additional knowledge.",,,
A,To me that's an invasion of privacy.,,,
B,"Yeah,",,,
B,"I agree with you there, for sure.",,,
B,"Um, and I think that all that information is quite easy for anyone to get.",minor topic start,,How easy is invasion of privacy
B,"It's possible for almost anyone to get information about your credit history, for instance, if they just, um, twist the right arm or claim to be from the right organization when they're calling the credit company.",,,
A,Uh-huh.,,,
B,"It's, you know, possible for a thirteen year old hacker with a modem to find out almost anything about your personal history, not to mention, change it if he wants to.",,,
A,"You mean your history in regards to, uh the charge card company or something like that?",,,
B,"Well, um.",,,
B,"Well, yes,",,,
B,"well, for instance, yes, um,",,,
B,"and they'll probably goes into other things, like, you know, your records with the government or utility companies or anything.",,,
A,"Do you consider these serious, uh, problems?",,,
B,"Um, uh, not, not yet anyways, because I don't think they're widespread enough,",,,
B,but I think they have the potential of becoming serious problems.,,,
A,Uh-huh.,,,
A,"Well, what should we do about it,",minor topic end,,
A,"or what could be done about it, do you think to correct it?",minor topic start,,How can we control privacy envasion
B,"Um I'm not really sure, because the, I mean society is going more and more electronic,",,,
B,"and there are certainly benefits to its doing so,",,,
B,"and it's hard to, hard to say whether the, um, risks have potential of outweighing the benefits or not,",,,
B,and I'm not sure what can be done to ensure that they don't.,,,
B,"Why,",,,
B,do you see any out for us?,,,
A,"Well, I would think that, uh, information held on records, uh, by any company or charge card dealer or person should be absolutely private and, and not be allowed to be, uh, to, given out by those companies.",,,
B,Uh-huh.,,,
A,"I mean, it should be made a, a, uh, national or a state law to protect people so that, uh, you would then feel more free to deal direct with these companies.",,,
B,Uh-huh.,,,
A,"In other words, if you call the company yourself, directly, uh, and then know that what you tell them will be on their records but will not be available to anyone else, uh, you know, from the outside, so to speak then you would, you would feel more free to, uh, to go into detail with them",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,I.,,,
A,"but, but we have no control of that now",minor topic end,major topic end,
B,Uh-huh.,,,
A,"and then, uh, you, you're, when you're talking with them you really don't want to tell them everything that's on your mind because you, you feel that it someday might be used against you.",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
