Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",opening,,
A,"I guess I'll start, um,",,,
A,"one, uh, big thing that, the advise that I would give to a parent to give to his or her child is to let their, let their child experience college in a kind of general sense.",major topic start,,talking about factors which may determine the right fit of college for an aspirant
A,"I like large colleges because I went to University of Texas at Austin,",minor topic start,,talking about how the size of intake might affect an aspirant's decision and if it is universal
A,they have fifty thousand students there.,,,
A,"And I feel like that now if I went, if I had gone to a small college that only had a couple of thousand that I wouldn't have, have gotten as much exposure to different people and different, uh, I don't know, different languages, different cultures, and things like that just by being around those fifty thousand students.",,,
B,"That's interesting,",,,
B,"I went to a smaller school,   of probably three thousand, thirty-five hundred.",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"And I, I thought that was the best experience in that we had more one-on-one since we seemed to know everyone on campus,",,,
A,Huh.,,,
B,"and  we had a broad spectrum of languages and cultures and backgrounds,  and so forth,",,,
A,Huh.,,,
B,"so, I thought it was wonderful to be a bigger fish and not so much a number,",,,
A,Uh-huh.,,,
B,"um,  one of fifty thousand, I was one of three thousand,  and,  and, you know,  different perspectives,",,,
A,Right.,,,
A,Uh-huh.,,,
A,Yeah.,,,
B,"I, uh,",,,
B,"but  it sounds like we were both kind of looking at the same sort of, sort of thing.",,,
A,"Yeah,",,,
A,"I, I could see, I could see that point, I could see how it would be.",,,
A,"I'm sure your classes were a lot smaller, um, because like we would have biology classes that did, main courses that everyone has to take, I mean, hundreds of students in this class,",,,
A,"so,  actually,  yes, you were a number.",,,
B,Yeah.,,,
A,"But, um, I, I just,",,,
A,"I don't know,",,,
A,"I'm thinking in a sense of, uh, just being exposed to more.",,,
A,"It just seems like in a larger college you, I don't know, your exposed to so many more people from all over the world,",,,
A,"and I'm sure a lot of people come to, you know, small colleges also but just that they're more of, of the different cultures there,",,,
B,"Uh-huh,",,,
B,yeah.,,,
A,"not that  it's, not that it's better",,,
A,"but I'm just saying that I think that big,",,,
B,That's one thing to definitely consider.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
A,"I think, uh, a lot of, a lot of students now would probably be afraid of a smaller college,",,,
A,"a lot of the students that I talked to even here in Waco they go to Baylor, um, they,",,,
A,"or they're considering going to Baylor,",,,
A,they're also considering going to U T Austin,,,
A,"but one of the big no-nos is because of the fifty thousand students,",,,
A,"and I have to tell them that just like, just like I live in Waco",,,
A,"it's a large city,",,,
A,"I can still function, in my own kind of area, in my own group.",,,
A,"I have a job,",,,
A,"I have my friends,",,,
B,Uh-huh,,,
A,"and I'm  really not as, as concerned about the entire city, so when you go to a big, a big university, you're not as concerned about the entire university,  but  your group of friends, your classes, your interests, your clubs and things like that.",,,
B,Yeah.,,,
B,"I think that's probably keyed to me is not so much the size the school,  but  what, what is the particular needs of the students",,,
A,Uh-huh.,,,
B,"and whereas some would immediately feel very comfortable in this, um, larger university setting,  some  of the students, um, when I was, when I was teaching school would not have been comfortable with that.",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"They needed, uh, at least at first,  they needed  a smaller setting that, that was more like family where they could get one-on-one,  from,  from teachers, professors and so forth, and then after a year or two move on to a little bit bigger pond where, where, when they had a little more self-confidence built up, oh, yes, I can do this, oh, I've done this before, it's just in a bigger setting,",minor topic end,,
A,"Uh-huh,",,,
A,right.,,,
A,Right.,,,
A,Right.,,,
B,"and  so maybe to me the key would be what is a the, the students needs,",minor topic start,,talking about an individual's needs which determine his/her choice of college he/she wants to attend
A,Uh-huh.,,,
B,"but it's these other things that you and I are, are keying off on,  that,  that are really more of an education that,",,,
A,Uh-huh.,,,
B,"but they're the things that don't show up in,",,,
A,On paper.,,,
B,"That's right,",,,
B,that's right.,,,
A,"Uh-huh,",,,
A,exactly.,,,
A,"That's, that's one important thing that I think about school.",minor topic end,,
A,"I'm, I'm not a kind a person that,",minor topic start,,talking of personal anecdotes which discuss why they made the choice of college they attended
A,"I didn't,",,,
A,"I, I was kind of a B student, I guess you'd say,",,,
A,"and I didn't really,",,,
A,I was,,,
A,I strived to be an A student,,,
A,but it wasn't like a real priority.,,,
B,Right.,,,
A,"To my, my priority was just being as worldly as I could possibly be getting into as many organizations as I possibly could,",,,
A,"and, and one other point I was going to make, was that I can I can see that probably if I had gone to a smaller school, I would probably have more friends,  because  you, like you said, you know, you know, everybody knows everybody,",,,
B,Huh.,,,
B,Yeah.,,,
A,"and  so, you probably come out of it knowing, and by friends, I mean, like contacts for when you get out of school, um, you know,",,,
A,"you just, you may walk into a company and see someone you went to school with,  more  so at a small college then a large college.",,,
B,Uh-huh.,,,
B,Yeah.,,,
A,You may have gone to school with them,,,
A,"but you wouldn't, you wouldn't know them.",,,
A,"Uh, I guess, let me think of another important thing to look at when you look into college, um,",,,
B,"I guess, I guess now I've been out for,",,,
B,"I, I'm older than you.",,,
B,I've been out for twenty-one years.,,,
A,Uh-huh.,,,
B,"And I was looking at an annual last night,",,,
B,"something had it sparked a question,",,,
B,"and I went to a small private school,",,,
A,Uh-huh.,,,
B,"um,  and it was church related.",,,
A,Uh-huh.,,,
B,"And I got to looking at my class of sixty-nine,",,,
A,Uh-huh.,,,
B,and  I realized that even though that school's two hundred miles from here,,,
B,"and I've lived in other states and done other things for the past twenty years, where I go to church now, there are five other people that went to school at the same time in the same class as I,",,,
A,Wow.,,,
B,"and  it's, it's neat to know that we have that contact that goes back that some of the same memories if not the same education in,",,,
A,Uh-huh.,,,
B,"you  know, we weren't all out to be teachers or, or whatever",,,
B,"so we didn't have the same classes,",,,
B,"but we had a common thread,  something  that still ties us together,  twenty  odd years later.",,,
A,Right.,,,
A,Wow.,,,
A,That's great.,,,
B,"And it's, it's, it's kind of neat just knowing that those kinds of things, those are what I carry beyond that piece of paper that allows me to be an exempt at T I,",,,
A,"Right,",,,
A,right.,,,
B,I have  something more important to me than that.,minor topic end,,
A,"That's great,",,,
A,that's great.,,,
A,"Yeah,",,,
A,"that's what I, that's basically what I, and, when I first,",,,
A,"I've been out of college only two years now, so it's still pretty fresh on my memory,  um,",,,
B,Uh-huh.,,,
A,"but now that I'm out,",,,
A,"when I went into school, my parents told, well,",,,
A,"my,",,,
A,"okay, let me, let me go back to my, my sister now is in college,  and  my father was really interested in getting her in a school that would look good on her, on her, uh, diploma, etcetera,  and  so forth,",minor topic start,,talking of anecdotes which discuss the significance of considering an individual's needs while making the choice of college
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"and, and I kept pushing her towards just kind of U T or a larger school,",,,
A,and it was just a big conflict between us because my father wanted the academics,,,
A,"and I wanted her to get the life experience,  out  of it,",,,
B,Uh-huh.,,,
A,"and so it was, you know,",,,
