Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Lucille Hughes.,opening,,
A,"Okay,",,,
A,"Lucille, I'm on, on .",,,
B,"All right,",,,
B,"and what,",,,
A,"And our  okay, our topic was,",,,
A,did you hear our topic?,,,
B,Yes.,,,
A,"All right,",,,
A,basketball.,opening,,
B,Uh-huh.,,,
A,I guess I'm probably a lot like you.,,,
A,I'm a Dallas Maverick fan.,major topic start,,Talking about a basketball team named Dallas Mavericks
B,"Well, I certainly am too.",,,
B,Now tell me what you expect from the Mavericks this year.,,,
A,"Well, unfortunately, I don't expect a great deal out of them.",,,
A,"They just have too many problems, too many ailments, too many hurt bones, and maybe too much age at this point.",,,
A,"You know, when Roy Tarpley just now he messed up on them, it just hurt them so bad.",,,
A,"I feel like everyone else,",,,
B,Um.,,,
A,I feel sorry for Donald Carter and the members of the team and the management team and everyone else.,,,
A,"It just seems like they were just getting themselves in a position where they could possibly be a final, a final team playing for all of it.",,,
B,"Yes, sir.",,,
A,"National championship or the world championship, and something like this happens.",,,
B,Oh.,,,
B,"Well, do you think it's time that we go for new, uh, coaches?",minor topic start,,Talking about whether or not to get new coaches
B,Is that part of our problem?,,, 
A,"Yeah,",,,
A,"I think at this time, we're just in a, a rebuilding type of phase, you know.",,,
A,"I think that probably be evident with the more and more, the more and more young guys they draft.",,,
A,"But,",,,
B,"Well, it just, it's so discouraging that they can't really,",,,
B,"I mean, they're entitled to more than they've been able to do so far.",,,
B,"I, I'm awfully sorry that the Mavericks can't come on and, and do.",minor topic end,,
B,"Roy, who's your next best team,",off topic start,,Talking about personal interests
B,or who do you like after the Mavericks?,,,
A,"Oh, gosh,",,,
A,"I'm so much a Maverick, Maverick fan I don't know.",,,
A,Probably the Boston Celtics.,,,
A,I've just always like the Boston Celtics.,,,
A,"They have a, they have a similar situation in that a lot of old guys on the team,",,,
A,"and, but they're still playing good ball.",,,
B,Well.,,,
A,"But I'm, I've always been a Boston Celtic fan, too,",,,
A,"but, you know, I've lived in Texas since seventy-four,",off topic end,,
A,"so being a transplanted Texan in, in the Dallas area, I have to stick with those Dallas Mavericks.",,,
B,"We certainly need to support them,",,,
B,do we not.,,,
A,"Yes,",,,
A,we do. You know.,,,
B,Do you go to the game?,off topic start,,Talking about going to watch games or not
A,"Yes,",,,
A,I go to a few games.,,,
A,I haven't been to many.,,,
A,I'm not a season ticket holder or anything.,,,
A,"I was a season ticket holder of the Cowboys for years,",,,
A,"and when my kids got to a certain age and went off to school and college and doing their own thing, sort of gets boring going by yourself",,,
B,"Yes,",,,
B,it does,,,
B,I'm sure it would in such a monstrous place down there.,,,
A,"Oh, you bet.",,,
B,"But, um, maybe next, maybe they can do some.",,,
B,"I don't know,",off topic end,,
B,who do they need to trade?,minor topic start,,Talking about trading some players to get new players to build their team
A,"Well, I don't know.",,,
A,"It seems like Rolando Blackman and, and Harper sort of carry the team,",,,
A,"they just,",,,
A,"I don't know,",,,
A,"I'm afraid to say, that's probably who they need to trade to get someone in there good,",,,
A,"but, and that can really help the team,",,,
A,"but they do that,",,,
A,they trade the nucleus of their power right now.,,,
B,"Yes, sir,",,,
B,it seems that way to me.,,,
B,"I, course I don't know any of the newer ones that they have",,,
B,"and I'm not well versed on their capabilities,",,,
B,but we really need to do something.,,,
A,"Well, you know, I feel like, uh, the best they can hope for this year is probably an opportunity to make the playoffs.",minor topic end,,
A,I like their coach.,minor topic start,,Talking about the Mavericks' coach
A,"I really like a lot,",,,
A,"and I just, I think he deserves a good break.",,,
A,I think he deserves a healthy team so they can really see what he can do for the club.,,,
A,"I think Donald Carter, the owner, I think with all he's invested, he deserves a a healthy team for one year and a good break also.",,,
B,I really.,,,
B,"Yes, sir.",minor topic end,,
A,"This thing with Roy Tarpley just upset everyone, I think. Fans, owners, management, everyone.",minor topic start,,"Talking about Roy, who left Mavericks"
B,"And they have just done as much as they can for that man,",,,
B,"and he apparently can't straighten his act out,",,,
B,"so we need to, to build on something more positive than that.",,,
A,You bet.,,,
A,I think they're fools if they ever bring him back,,,
B,"Oh, I do, too.",,,
B,I certainly would agree to that.,,,
A,Hate to put it that way.,,,
A,I just would not believe him any more.,,,
B,"Well, it, um,",,,
B,"I mean, you can't give, anyone too many chances",,,
A,No.,,,
B,and I think he has gone over the limit.,,,
A,"There's an old saying you can, you can lead a horse to water",,,
A,but you can't make him drink.,,,
A,"So,",,,
B,That's right.,,,
A,And I think Tarpley's just a sad case.,,,
B,Well.,,,
A,"But to be making a, a million dollars a year, that's pretty sad.",,,
B,It is tragic.,,,
B,"I don't, um,",,,
B,"I mean, we're going to have to do something about all of these fabulous salaries they're paying to all of our athletes, I think.",,,
A,"Oh, I think you're right.",,,
A,Everything has been put out of perspective now.,,,
A,"You know, you take a, a young kid Roy Tarpley's age, I'd say he was twenty-one when he came into the league,",,,
A,"and now he's probably an old age of, uh, twenty-five or six and making all that money,",,,
B,"Yes, sir.",,,
A,"well, that's, uh, that's quite a, that's a little more of a challenge for a young man than they, they need at that point in their life, I think.",,,
B,I think you're right.,minor topic end,major topic end,
B,"I believe that one,",,,
B,so.,,,
A,"I think, you know, it's created by,",,,
