Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",opening,,
A,there we go.,,,
B,"Okay,",,,
B,great.,,,
A,"So, do you play golf at all?",,,
B,"Yeah,",,,
B,"I do,",,,
B,I'm a player.,opening,,
B,"I'm kind of embarrassed I'm talking to a man, cause I'm sure that you are, you play a lot more than I do.",major topic start,,Conversion regarding playing golf starts
A,"Actually, I don't.",,,
B,"Oh, really.",,,
A,"No,",,,
A,"uh, I, uh, when I was younger, I played a little bit",,,
A,"and I was horrible,",,,
A,so I just stopped playing.,,,
B,"Oh, well, my husband is, is a very good golfer.",,,
B,"He has got, like a six handicap.",,,
A,"Wow,",,,
A,that is real good.,,,
B,"So, uh,",,,
B,and he has been playing since we have been married for twenty two years.,,,
B,"So, I had to start playing because, he was, you know, such an avid golfer.",,,
B,"So, I have been playing now,",,,
B,"well I have had clubs for twenty years, you know.",,,
A,"Wow,",,,
A,"so you have been playing,",,,
B,"But, but, I really enjoy it.",,,
B,"So, I had to check that and, and, uh, talk about it.",,,
B,"Well, have you played recently?",,,
A,"No,",,,
A,"actually, I don't even know if I checked that or not, to be perfectly honest. Um",,,
B,Oh,,,
A,"That seems to have been a mistake,",,,
A,I don't know. Um.,,,
B,"Oh, that's okay.",,,
A,"Yeah,",,,
A,I have not played in a long time.,,,
A,"Um, when I was,",minor topic start,,A tells about his past in golf
A,"about five or six years ago, my dad , who plays every now and then took me out with him",,,
A,"and, and I basically, um, I had a horrible slice or hook,",,,
A,I forget which one it was.,,,
B,Yeah.,,,
A,"It wound up tossing the ball into the trees, virtually every time.",,,
B,Yeah.,,,
B,"Yeah,",,,
B,the slice goes to the right,,,
B,"and the hook goes to the left,",,,
B,I think.,,,
A,"Yes,",,,
A,"I was slicing, actually.",,,
B,Yeah.,,,
A,"And, as it turns out, uh, I went and took some lessons for awhile, because I just, I would lose so many balls, and, uh, make it a horrible time for everybody.",,,
B,Yeah.,,,
B,Yeah.,,,
A,"I went and took some lessons,",,,
A,"and a I got a little bit better,",,,
A,"but I but then I sort of, you know, went, went back to school and did not have time and this and that,",,,
A,"and, and the only thing I do now is I occasionally go out to a driving range and hit a couple of balls and see what I can do.",,,
A,"And I, And I still have this slice ,",,,
B,"Yeah,",,,
B,I think that's really a good thing to do.,minor topic end,,
B,"So, where, are you in your life,",off topic start,,Information regarding college of A
B,"I mean, are you in school?",,,
A,"I'm a graduate student,",,,
A,yeah.,,,
B,"Oh, okay,",,,
B,at the University of Rochester?,,,
A,Yes.,,,
B,"Oh, great.",,,
A,"As a matter of fact, um, so I don't have time to do much else, except for graduate work.",,,
B,Yeah.,,,
B,Yeah.,,,
A,"Right,",,,
A,"so I hang around this way,",,,
A,"and I,",,,
B,Sure.,off topic end,,
A,"Occasionally, uh, uh,",,,
A,"a bunch of us were pretty avid golfers. Golfers, so we will go out",,,
B,Uh-huh.,,,
A,"and we will, we will, we will play, you know.",,,
B,"And you don't, you don't have the length of the playing time that we do.",,,
A,"I have, I have very at the moment I have very little playing time.",,,
A,"When I, when I go on vacation, my father and I, uh play a little bit.",minor topic start,,Favourite hole course
B,Yes.,,,
A,"But, I don't, you know,",,,
A,"we play a par, a par three, nine hole course.",,,
A,"Because, .",,,
B,"Oh, that's my favorite kind to play.",,,
B,"Because, for a woman, it's really nice to play a par three course because, that's my, I can't hit a driver very far",,,
A,Yeah.,,,
B,"and, in fact, I don't even like to use a driver,",,,
B,"I use a three iron off the tee because, I have more control over it.",,,
A,Um.,,,
A,Uh-huh.,,,
B,"And, I can, I can just have better contact with the ball that way.",,,
B,"So, I'm still using a three iron",,,
B,"and my husband is trying to get me into using a, you, know, like a high number wood instead.",,,
A,Right.,,,
A,"But, those are, uh, still not you favorite, huh?",,,
B,"No,",,,
B,"it's not my favorite,",,,
B,"but, I, I, uh, I enjoy,",,,
B,"I, I really do,",minor topic end,,
B,"I think I'm going to like golf the older I get, and the more time I have to play.",off topic start,,Personel life of B
B,"I, we have three teenage daughters.",,,
A,"Uh, wow, .",,,
B,"One is,",,,
A,You must be very busy.,,,
B,"Yeah,",,,
B,"I'm very busy,",,,
B,I have a part time job,,,
B,"and, and during the year, I don't play much golf",,,
B,"but, but, when I'm, we are on vacation, I love to play. Just like you said.",,,
A,Um.,,,
B,"And, we got to play in Monterrey in California, right, you know, along the Pacific Ocean, this past spring.",,,
B,"And that was, I told my husband, that was the way to play, you know,",,,
B,"that was,",,,
B,"if I could play there every time I want, it was, it was great.",,,
B,A neat experience,,,
A,"Miniature golf, there's my game. Uh.",,,
B,"Miniature golf is great,",,,
B,yes.,,,
A,"Miniature golf, there you go, putt, putt.",,,
B,"Well, that's the thing my kids like to do that with, you know, on dates and stuff.",,,
A,Uh.,off topic end,,
B,"But, golf is um,",,,
B,"we, we probably are talking about golf because I did check it You know .",,,
A,"I don't, I don't, I don't",,,
A,"I may have, actually, I may have just checked random things.",,,
A,"I don't, I don't recall anymore.",,,
B,"Well, yeah,",,,
B,"if you ever played,",,,
B,"I mean, I feel like anybody that's ever played golf can talk about it",minor topic start,,They talk about golf clubs
B,"and maybe if you can even talk about it, if you, if you have, uh, watched it on T V.",,,
A,Right.,,,
A,"Yeah,",,,
A,"actually, we have a very very, um,",,,
A,"we had the, uh,",,,
B,"Yeah,",,,
B,tell me about your clubs up there.,,,
B,"What,",,,
A,"Well, we had,",,,
A,I haven't played around here too much.,,,
A,We have a very good one called Locust Hill though.,,,
A,"There, uh, the",,,
B,Locust Hill?,,,
A,"Yeah,",,,
A,the L P G A comes here every year the Rochester International.,,,
B,"Uh-huh,",,,
B,right.,,,
A,"And then we had a P G A, actually, a very big P G A, uh, tour stop here, last year.",minor topic end,,
B,"Oh, great.",,,
A,"And, actually, um, they say the, the,",,,
A,"I have not played the course,",minor topic start,,How good the course is
A,"but, they say the course is very, is, is, is pretty tough, pretty challenging.",,,
B,Uh-huh.,,,
A,"And it's, um, not only that,",,,
A,"but, it's exceedingly well kept, apparently.",,,
B,"Oh, yeah.",,,
A,"Because, those are the comments I kept hearing from the pros, you know,",,,
A,"they kept saying, we hear, you know, on, on television I,",,,
A,"but, they keep saying it's just wonderful, uh,",,,
A,the course is so well maintained,,,
A,"and, you know, it, it, it rained through half the um, tournament, so people had to ,",,,
A,"but, they still,",,,
A,"the grounds keepers were absolutely wonderful about, getting things back up again.",minor topic end,,
B,"Oh, yeah.",,,
A,"And this,",,,
A,"actually, when, when the, um, when the L P G A came here I guess that was about a week and a half ago, it was just, it, it takes over the whole town.",off topic start,,The craze among people for golf
B,Uh-huh.,,,
B,"Oh, sure.",,,
A,"You know.  It's all over the news,",,,
A,"and lots and lots of people take off work, to go to go an watch the, the, uh, ladies like some loss of words play.",,,
B,Yes.,,,
B,Yeah.,,,
B,"To watch them,",,,
B,yeah.,,,
B,"The ladies,",,,
A,"So, I mean, I think it's actually, it's absolutely wonderful to see.",,,
B,"Yeah,",,,
B,I'm sure the people love golf up there like they do down here.,,,
A,"Yeah,",,,
A,uh.,,,
B,People are just,,,
B,"golf is just,",,,
B,"it's just the coming thing,",,,
B,I mean a lot of people are just crazy about it.,,,
A,It seems to be.,,,
A,"It seems a lot of people are really, you know,",off topic end,,
A,"either, um, either you have not played it, or, or you, you have played it",,,
A,"and you sort of stink, like me,",,,
B,"Well, it's, it's just such a difficult thing.",,,
A,and you sort of play every now and then.,,,
B,"I mean it's, I just, I watch my husband",,,
B,"and he's, he was a professional athlete,",,,
B,"he, he's a very good athlete",,,
B,"and he's got the coordination, that God given coordination,",,,
B,"and he just struggles, you know, all the time, to um, to master this game.",,,
A,Yeah.,,,
A,"Yeah,",,,
A,"well, same here, I mean, I'm a brown belt in Karate at this point in time.",off topic start,,Karate and its similarity to her husband playing golf
A,"And, uh, And, and I can not, and I can not hit a golf ball",,,
B,"Oh my, really!",,,
B,Yeah.,,,
A,"You know I,",,,
B,"Because it,",,,
B,"well, I watch my husband swing",,,
B,"and his swing, you know, like compared to the pros, is so, it's ridged.",,,
B,"It's like he's trying so hard, it's not that flowing movement. You know.",,,
A,Right.,,,
A,"That's because he's probably doing what I do, worrying about, is my head straight, is my arm right,",,,
B,Yeah.,,,
B,Yeah.,,,
B,"Or, how far he's going to hit it, I think, you know.",,,
A,oh yeah.,,,
B,And I worry about that.,,,
A,"Oh, yeah.",,,
B,"I have just got to get this drive, you know, really far,",,,
B,I have got to hit it.,off topic end,,
A,Yeah.,minor topic start,,Mistakes they do while playing golf
B,So.,,,
A,Yeah.,,,
B,Yeah.,,,
A,"I have this nasty habit of of turning my head at the last second, or, or just keeping my arm wrong.",,,
B,"Yep,",,,
B,"or,",,,
B,"Yeah,",,,
B,"turning your head is probably the most common thing for women, they say.",,,
A,Is it?,,,
B,And you are always so anxious to see where it goes.,,,
A,"Right,",,,
A,exactly.,,,
B,Uh-huh.,,,
A,"Exactly,",,,
A,"It's just like I, I don't watch the ball die,",,,
A,I have .,,,
A,It took me a long time to learn to wait until the ball was in the air before I looked up.,,,
B,"Yeah,",,,
B,"yeah,",,,
B,"I have to that, especially, even more so, with a short iron than a long you know, than with a driver or something.",,,
A,"Oh, driver.",,,
B,"Because, those short irons, it's just, you want to look up cause you are getting close to the green",,,
A,Yeah.,,,
B,and you want to see it hit the green.,,,
B,"And you know that's why,",,,
A,Watch where it's going.,,,
B,"Yeah,",minor topic end,,
B,"so. I I don't know what I'm supposed to ask questions about,",off topic start,,They talk about procedure to get reimbursment
A,"That, that is certainly true",,,
A,thank you .,,,
B,"am I supposed to ask questions about this whole procedure,",,,
B,I know that.,,,
A,"That's okay,",,,
A,"go ahead,",,,
A,it's no big deal.,,,
B,"Well, uh,  when I,",,,
B,"do you get, get, um, reimbursed for the calls you make or the calls you talk on too?",,,
A,Both.,,,
B,Both.,,,
B,Okay.,,,
A,I believe so.,,,
B,"Okay,",,,
B,"well I really did not know  so I,",,,
A,"I, I,  I actually don't know,",,,
A,"I get a random reimbursement every now and then and don't really don't really figure it out,  until  afterward",,,
B,Yeah.,,,
B,Okay.,,,
B,Cause this is only my second day doing it,,,
B,"and I just did not, I did not know",,,
B,"and that was .  the details,",,,
A,"Oh,  really.",,,
B,"we, I just started yesterday.",,,
A,"I have been doing this for awhile, actually.",,,
B,Have you?,,,
A,It seems like it's been a while.,,,
B,Yeah.,,,
A,"And they just,  I just,  get these random checks in the mail every now and then",,,
B,"I had a ,",,,
A,"and,",,,
B,I see.,,,
A,"My wife and I both do it, as a matter of fact.",,,
B,I see.,,,
A,"And we both just, sort of, get these random checks in the mail",,,
A,"and, To be honest, I, I really have not been accounting,",,,
B,Yeah.,,,
A,"I just sort of figured, well, it's going to work.",,,
B,Uh-huh.,,,
A,"You know, if it works, it works.",off topic end,major topic end,
A,"So ,",,,
B,"Well, my, uh,",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
