Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",opening,,
A,is it Mike?,,,
B,Yes.,opening,,
A,Do you repair your own car?,major topic start,,The theme is car repair
B,"I try to, whenever I can.",,,
B,"I've always been a, a I guess a product of a handyman father.",,,
A,"Well, I tell you what, that's, count your blessings because uh, it really is good when someone can do some things to a car themselves.",,,
B,Yeah.,,,
B,Yeah.,,,
B,"There's,",,,
B,"although I'll tell you, you know, over the years the cars get more complicated.",minor topic start,,They talk about how car repair gets tricky with time
A,"Well, that's why I don't do as much as I'd like.",,,
B,"Right,",,,
B,yeah.,,,
A,"Because they are, I mean they've got, they've gotten complicated haven't they?",minor topic end,,
B,Yes.,,,
B,"One of my first cars was a fifty-six Buick. Which, after awhile I could, you know, take it apart in my sleep if I needed to.",off topic start,,B talks about the first car he repaired and how it's changed now
A,Uh-huh.,,,
A,Is that right?,,,
B,Yeah.,,,
B,"It, it got to be pretty straightforward to understand",,,
B,"and, now since then, you know, the closer a car is to a fifty-six Buick, the, the more I know about it.",,,
B,And then start getting into these Nissans and the like,,,
B,and I just can't keep up.,,,
A,"Yeah,",,,
A,"I, I agree.",,,
A,"About all I ever,",,,
A,"I never was too mechanically inclined,",,,
A,"but I used to always change my own oil and do the points and plugs and,",,,
B,Yeah.,,,
A,"Course, they don't use, uh, points anymore.",,,
B,That's right,,,
A,"But, Uh, they do still use plugs.",off topic end,,
B,Yeah.,,,
B,Yeah.,,,
A,"And, uh, now brakes, I've always done a lot of, you know, changing brakes.",minor topic start,,They talk about brake repair
B,Uh-huh.,,,
A,"And I used to do, I could always do the alternator, you know, and starter.",,,
B,Yes.,,,
A,"I don't anymore,",,,
A,"but I have on a lot, a lot of times.",,,
B,"Yes,",,,
B,I understand.,minor topic end,,
B,My last car repair actually had to do with brakes,off topic start,,B talks about when his brakes needed repair
B,and it's one I did not do myself.,,,
B,"I took the car, my,",,,
B,"I have a seventy-nine El Dorado, took it to be inspected",,,
A,Uh-huh.,,,
B,and the parking brake failed.,,,
B,"So I got under there and messed with the, the that, uh, that adjustment to make, to tighten it up",,,
A,Uh-huh.,,,
B,and that didn't do the trick,,,
A,Uh-huh.,,,
B,"and then I got there and tried to,",,,
A,"It probably slipped loose, didn't it?",,,
B,"Well, actually that wasn't even eventually the problem.",,,
B,"I, I did a lot of things that I, I did everything that I could think to do.",,,
A,Uh-huh.,,,
B,"And, eventually I brought it up to a, a place called Just Brakes",,,
A,Uh-huh.,,,
B,"and it turns out that there's a,",,,
B,"the parking brake in the rear,",,,
B,"there's a, there's disc brakes",,,
B,and the parking brake is a piston deal.,,,
A,Um.,,,
B,"And because the parking brake hadn't been used in so many years, the piston froze up.",,,
A,Oh.,,,
B,So they ended up having to pound it out.,,,
B,"And one of them, they, were able to get running, uh, kind of oiling it and playing with it",,,
B,"and the other one they just, it was just frozen solid,",,,
B,so I ended up having to buy one,,,
B,"and all total, it was just under two hundred dollars, believe it or not, to get all that done",,,
A,"well, it really wasn't quite, as bad as you thought, was it, was it?",,,
B,"yeah,",,,
B,"actually, I, I think it was a lot of money,",off topic end,,
B,"but I, I don't, like I",,,
A,"Well, it was a lot of money,",,,
A,"but,",,,
B,"Yeah,",,,
B,"but, I,",,,
B,it got to the point where I didn't know what was going on,,,
B,"so,",,,
A,"You had to have the help, didn't you?",,,
B,"That's right,",,,
B,that's right.,,,
A,Yeah.,,,
A,"Well, do you still do much work on them, then?",,,
B,I do.,,,
B,"actually that was just a, at, at the beginning of September",,,
B,"and, whenever I can, I do try.",,,
B,I,,,
B,"actually, I'd say this.",,,
B,"I, I've gotten to the point where I don't change the oil anymore. Only because,",minor topic start,,They talk about oil change
A,Disposal is a problem.,,,
B,"Well, that is one problem,",minor topic end,,
B,"but also these, uh, these fast oil change places, you just can't beat them.",off topic start,,They talk about oil change places
A,That's true.,,,
B,"For sixteen bucks they'll not only will they change the oil in ten minutes, and do a you know, as good a job as I can do, but they'll, uh, lube, too",off topic end,,
A,That's true.,,,
A,"Right,",,,
A,"that, that,",,,
A,"I've, I've quit doing that myself.",,,
B,Yeah.,,,
A,"And, but one of the main reasons was the disposal of the oil, you know.",,,
B,"Yep,",,,
B,that's right.,,,
A,"And, uh, but, it,",,,
A,"but, no,",,,
A,"I guess,",,,
A,"that,",,,
A,"and the main reason that it's, it's quick.",major topic end,,
