,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Okay,",major topic start,,Talking about going metric,0
1,A,"do you, uh, think we should go metric?",,,,0
2,B,"Well, I, I, oh, I don't know.",,,,0
3,B,"It's kind of a tricky question, because I think it's, it's a practical system,",,,,0
4,A,Yeah.,,,,0
5,B,"obviously, if it's all compatible and it, you know, tens",,,,0
6,B,and things make sense.,,,,0
7,B,"Um, it's, it's a switch.",,,,0
8,B,The problem would just be the switch over.,,,,0
9,A,Yeah.,minor topic start,,How they tried to switch in the 70s once,1
10,A,"I think that the, I think what,",,,,1
11,A,"I mean, I don't know what happened last time.",,,,1
12,A,I remember they tried it in the seventies at one point or something,,,,1
13,A,"and,",,,,1
14,B,Right.,,,,1
15,B,That's when I was in the elementary school years,,,,1
16,B,"and we all, We all learned that metric",,,,1
17,A,"Yeah,",,,,1
18,A,me too.,,,,1
19,B,"and they were ready,",,,,1
20,B,we were going to be metric,,,,1
21,B,"and,",,,,1
22,A,"Right,",,,,1
23,A,"and, and I don't quite know why it failed.",,,,1
24,A,"Um, I would bet the push, I, it, I bet the push just wasn't big enough.",,,,1
25,B,Right.,,,,1
26,A,"You know, they didn't sort of encourage, I mean businesses and things to use it,",,,,1
27,A,"so, you know, what, what I think they'd have to do would be to have both things on there for a while, and then, and then start phasing things out",,,,1
28,A,"so,",minor topic end,,,1
29,B,"So I think that's what they did at first, was that they had metric",,,,0
30,A,Yeah.,,,,0
31,B,"and, and I mean, and there's things that we've gone metric.",,,,0
32,B,"We have metric cola now,",,,,0
33,A,"Right,",,,,0
34,A,"I was just thinking, two liter bottles are what you buy and one liter bottles.",,,,0
35,B,you can buy that,,,,0
36,B,"and you can,",,,,0
37,A,You don't buy quarts and gallons anymore of soda.,,,,0
38,B,"So that, you know, so that, we have little things that are metric,",,,,0
39,B,"but no one talks about, you know, uh,",,,,0
40,B,"you buy nine by twelve frames,",,,,0
41,B,"you don't buy centimeter length frames, and cooking pans.",,,,0
42,A,Right.,,,,0
43,A,"And, and, and even though the car says miles and kilometers,",,,,0
44,A,"you don't say,",,,,0
45,A,"I went, a hundred kilometers. You know.",,,,0
46,B,Uh-huh .,,,,0
47,B,"Right,",,,,0
48,B,fifty-nine kilometers per gallon.,,,,0
49,A,Yeah.,,,,0
50,A,"I would, I would be total loss.",,,,0
51,B,Yeah.,,,,0
52,B,"That's,",,,,0
53,A,"I think, I think, though, if there were some, you know, sort of government incentive program or something people would begin to switch over, you know,",minor topic start,,How to indtroduce the shift,1
54,B,Right.,,,,1
55,A,and I think there would be the hard core older people who would get really pissed,,,,1
56,A,"and, pardon my expression there, but, uh, who would get really, you know, upset and start to complain and get all cranky and stuff.",,,,1
57,B,Uh-huh.,,,,1
58,A,But I think in the end it would make life a lot easier for people coming up.,,,,1
59,B,"Yeah,",,,,1
60,B,it really would.,,,,1
61,B,"It's, I, I, it's, because I think they had a good try there when they started with us in the elementary schools, trying to, you know, get that in our minds, so that we could I mean",,,,1
62,B,because I think our generation could make a change.,,,,1
63,A,Yeah.,,,,1
64,B,"It would be difficult,",,,,1
65,B,"but it would not be as difficult for people, say, fifty years old now who are, have never been exposed to the metric system other than, you know, buying a two liter Coke.",,,,1
66,A,Right.,,,,1
67,B,That's,,,,1
68,A,"Well, what I think, I think the difference between now and then might be, this is just a might, is we were the first generation that was in elementary school.",,,,1
69,B,Right.,,,,1
70,A,"And if they kept it up,",,,,1
71,A,"so let's say, imagine they had kept going,",,,,1
72,A,"you'd have, you know, two or three more generations that all now are, are familiar with the metric system.",,,,1
73,B,Right.,,,,1
74,A,"Not like could use it comfortably right now,",,,,1
75,A,"but I could convert, you know,",,,,1
76,A,I could carry around a little conversion card or something,,,,1
77,A,"and, I could handle it for a while, and then, and then eventually I'd learn,",,,,1
78,B,Right,,,,1
79,A,"and I think that before, it was just, you know, just a bunch of little kids using it.",,,,1
80,B,Right.,,,,1
81,A,"And now I think there are enough people,",,,,1
82,A,"you know, sort of as we get older, I think others that will bring more generations in on it, eventually they'll be able to make the switch,",,,,1
83,A,"and we're not going to start going crazy and yelling and saying, what are you, crazy, we can't understand you.",,,,1
84,A,"We'll say oh, it's a pain in the neck,",,,,1
85,A,but it's for the better,,,,1
86,A,"and we'll sort of deal with it, I think.",,,,1
87,B,That's true.,,,,1
88,B,That makes sense.,,,,1
89,A,I don't know.,,,,1
90,A,"I, I, I would hope it would, uh,",,,,1
91,A,it seems like it's a reasonable system.,,,,1
92,A,"I mean, everything seems to be based on the same thing.",minor topic end,,,1
93,B,"Well, I was trying to think of what kind of things you'd have to change,",minor topic start,,Things that might have to be changed,1
94,B,and you'd have to change your height on your driver's license.,,,,1
95,A,Right,,,,1
96,B,"When you wouldn't be five foot eight anymore, uh, you'd be a hundred and seventy centimeters,",,,,1
97,A,Centimeters.,,,,1
98,B,and then you'd be lighter in kilograms than you were in in pounds.,,,,1
99,A,Yeah.,,,,1
100,A,"But I wonder if, if,",,,,1
101,B,So all the dieters would be happy,,,,1
102,A,But yeah,,,,1
103,A,right,,,,1
104,B,I only weigh sixteen today.,,,,1
105,B,"That's,",,,,1
106,A,Yeah.,,,,1
107,A,"But I wonder if that's even something that, you know, they, they have to change immediately.",,,,1
108,A,"They could just, you know, sort of phase that in,",,,,1
109,A,"so start, you know, from now,",,,,1
110,A,"like from now on all licenses would have that, rather than going back and changing everything, you know, all new licenses as of nineteen ninety-two would have it or something.",,,,1
111,B,Right.,,,,1
112,B,"And they'd have to change that little ruler that's on the door of the seven eleven that, tells you how tall the robbers are when they, to hold it up.",,,,1
113,A,That's right.,,,,1
114,A,"I know the,",,,,1
115,A,"and, oh, yeah,",,,,1
116,A,"I know, though, at the, uh, at the amusement parks, they say if you're under forty-two, inches or something. You can't walk in here.",,,,1
117,B,Right.,,,,1
118,A,You have to be under.,,,,1
119,A,"Well, I guess what, what, I bet what they do in that case, they, uh,",,,,1
120,A,"see, what some of them is like, you know, they say if you're not taller than this line.",,,,1
121,B,Right.,,,,1
122,B,"this line, which is seventy-three centimeters.",,,,1
123,A,That's right.,,,,1
124,B,"Just so you'll know,",,,,1
125,A,"It would be a neat case where like, where kids taught the parents, I think, you know.",minor topic end,,,1
126,B,Right.,minor topic start,,Talking about where all the metric system is,1
127,B,Because isn't it pretty much everywhere in the world?,,,,1
128,B,I know England is not metric.,,,,1
129,A,But I don't know.,,,,1
130,B,"I, I don't think they are, because our, um, our measurements started in England,",,,,1
131,A,England is not?,,,,1
132,A,Oh.,,,,1
133,B,"all that began back there,",,,,1
134,B,and I think they're the only part of the continent that hasn't changed over to metric.,,,,1
135,A,"Yeah,",,,,1
136,A,"but I mean,",,,,1
137,A,"but, but virtually the rest of the world is.",,,,1
138,A,"I mean, it seems like like, like, like sort of stupid.",,,,1
