,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,So how do you get most of your current event information?,major topic start ,,talking and discussing about the methods in which they get information regarding the surroundings.,0
1,B,"Well, , see I'm going to school right now,",minor topic start,,taking about the reasons why he cannot opt for certain methods of getting information.,1
2,B,"and, uh,  while I'm working, I don't get a, I don't get a chance to read the paper a lot,",,,,1
3,A,Uh-huh.,,,,1
4,B,"and I don't watch T V as much really either, because, uh, my free time is kind of,",,,,1
5,B,"and I do, like to do other stuff with it.",,,,1
6,A,Right.,minor topic end,,,1
7,B,"While I'm at work sometimes, I, on the computer network um, I read the news sometimes,",,,,0
8,A,Uh-huh.,,,,0
9,B,and that's kind of helpful.,,,,0
10,A,"I would imagine going to college, though, your professors and different things,",,,,0
11,A,you keep up on what's going on.,,,,0
12,B,"That's true,",,,,0
13,B,"I mean, my roommates and stuff, you know people around me talk about it.",,,,0
14,A,Yeah.,,,,0
15,B,"And the people I work with are pretty, you know, up, up-to-date on that kind of stuff,",,,,0
16,B,so.,,,,0
17,A,Right.,,,,0
18,A,"Well, I'm a housewife,",minor topic start,,she is describing her situations for certain preferences of information retreiving.,1
19,A,"I have three kids,",minor topic end,,,1
20,A,"and so  um, I get most of my information probably through just the news at six o'clock and then, um, talking with people and just hearing what's going on.  .",,,,0
21,B,Uh-huh.,,,,0
22,B,Yeah.,,,,0
23,B,"Do you watch,  do you watch the network, like major network news,",minor topic start,,talking about the major shows they watch and their contents,1
24,B,or do you watch like  the MACNEIL LEHRER HOUR?,,,,1
25,A,Just the  regular channel  just channel eight.,,,,1
26,B,"Oh, really.",,,,1
27,A,That's our channel here,,,,1
28,A,"that's the, um, eyewitness news.",,,,1
29,B,Uh-huh.,,,,1
30,A,So.,,,,1
31,B,"Oh,  see channel, where I am channel eight's, um, like public T V,",,,,1
32,B,so it's kind of different.,,,,1
33,A,"Oh, uh-huh.",,,,1
34,A,Yeah.,minor topic end,,,1
35,B,"I think,  I think the, uh,",,,,0
36,B,"I think a lot of the commentators on, like the major networks, like right, it's kind of appropriate right now because of the election stuff going on,",minor topic start,,talking about negative affect of some media shows.,1
37,B,"but, um, it seems that, um, they kind of get to throw their opinions into how they, you know, report on the news.",,,,1
