,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Okay.,major topic start,,Talking about their pets,0
1,B,Yes.,,,,0
2,A,"Uh, well, right now we have one dog inside.",,,,0
3,B,Uh-huh.,,,,0
4,A,She goes out,,,,0
5,A,but I mean she's an indoor dog.,,,,0
6,B,Yes.,,,,0
7,A,And two outside cats.,,,,0
8,B,"Oh, gosh.",,,,0
9,A,Male and female.,,,,0
10,B,And how long have you had them?,,,,0
11,A,The,,,,0
12,A,"the dog is probably about, about thirteen, fourteen years old.",,,,0
13,A,"And the cats are, they might be as old.",,,,0
14,A,I'm not sure,,,,0
15,A,Yeah.,,,,0
16,B,"Well, that's interesting because we have a",,,,0
17,B,we don't have cats,,,,0
18,B,"but we do have a dog, who is an indoor dog,",,,,0
19,A,Uh-huh.,,,,0
20,A,Uh-huh.,,,,0
21,B,and she is going to be thirteen this summer,,,,0
22,B,"so,",,,,0
23,A,"Oh, is that right?",,,,0
24,A,What kind of dog do you have?,minor topic start,,Talking about what kind of dogs do they have,1
25,B,"Um, she's, um, a mix of Cockapoo, Cocker Spaniel and Poodle.",,,,1
26,A,"Oh, that's what ours is",,,,1
27,B,Is that right?,,,,1
28,A,Yes.,,,,1
29,B,Isn't that interesting,,,,1
30,B,What color is your dog?,,,,1
31,A,White.,,,,1
32,B,"Oh, well, ours is black,",,,,1
33,B,so,,,,1
34,A,"Oh, uh-huh.",,,,1
35,B,definitely different,,,,1
36,A,I'll be darned.,,,,1
37,B,"Yes,",minor topic end,,,1
38,B,she's a female,minor topic start,,B Talking about her dog,1
39,B,"and she's, um, been, she's been a really, a really good companion for me.",,,,1
40,B,"Um, she's like a little shadow, you know, kind of, follows me around all the time,",,,,1
41,A,Uh-huh.,,,,1
42,A,Oh.,,,,1
43,A,Yeah.,,,,1
44,B,"and, and, um, she's slowing down considerably.",,,,1
45,B,She doesn't hear very well,,,,1
46,B,"and,",,,,1
47,A,Uh-huh.,,,,1
48,B,she doesn't see very well,,,,1
49,B,"but she's,",,,,1
50,A,"Well, that's to be expected at, their age.",,,,1
51,B,"Yeah,",,,,1
52,B,"at this age, I guess so.",,,,1
53,A,Yeah.,,,,1
54,B,"But, um, she's been a good dog to have,",,,,1
55,B,"and I don't know,",,,,1
56,B,"once she's gone, I'm not sure if I'll get another animal or not",,,,1
57,A,"Well, everybody always says no more",,,,1
58,B,"Yeah,",,,,1
59,B,yeah.,,,,1
60,A,"But I, I think animals are really important in the family.",,,,1
61,A,"I,",,,,1
62,B,"I agree,",,,,1
63,B,yes.,minor topic end,,,1
64,B,"Um, did you get yours as a pet for your",,,,0
65,B,do you have children?,off topic start,,B asking A if she has kids,2
66,A,"Uh, yeah,",,,,2
67,A,"we, have five.",,,,2
68,B,Uh-huh.,,,,2
69,B,Uh-huh.,off topic end,,,2
70,B,"Oh. Well, I was wondering if you got your dog originally as a pet for them or just because you'd had dogs before",,,,0
71,B,"or,",,,,0
72,A,"Well, we have had, we had had, a, a dog before.",minor topic start,,A talking about a dog she once had,1
73,A,She was fifteen when she died.,,,,1
74,B,My goodness.,,,,1
75,A,"And, uh, this one, we bought by accident,",,,,1
76,B,Uh.,,,,1
77,A,"a farmer called us and wanted us to call the animal shelter to or the dog catcher or somebody to come and get this puppy that, somebody,",,,,1
78,B,Uh-huh.,,,,1
79,A,"people drop things like that off, up there,",,,,1
80,B,Yeah.,,,,1
81,B,Uh-huh.,,,,1
82,A,"and I said, ""Gee, she sounds like a cute little dog.""",,,,1
83,A,"I told the kids, ""Let's go look at her""",,,,1
84,B,"Oh, yeah.",,,,1
85,A,Go get her.,,,,1
86,A,"So that's how we got her, quite by accident.",minor topic end,,,1
87,B,"Isn't that,",,,,0
88,B,Yes.,,,,0
89,B,So that often happens that way.,minor topic start,,B talking about how she got her dog,1
90,B,"Well, we had, um, intentionally, um, planned to get a dog.",,,,1
91,B,"We had just moved into this house and, um, decided to wait about a year and then went, then we went out then, and found one,",,,,1
92,A,Uh-huh.,,,,1
93,B,"she was in the litter,",,,,1
94,A,"Uh-huh,",,,,1
95,A,uh-huh.,,,,1
96,B,"and, um, she was so cute because all the other little puppies in that litter were just crazy.",,,,1
97,B,"I mean, they were all over the place,",,,,1
