,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,B,"Okay, I guess we're on.",opening,,,0
1,A,Yeah.,,,,0
2,B,"Central America, have you ever lived in Central America.",major topic start,,Talking about America and life there,0
3,A,I wasn't in Central America,,,,0
4,A,"but, uh, talking about Latin America, I kind of, I consider Latin America to include Central and South America",,,,0
5,A,"and I did live in, uh, San Polo Brazil for four years.",,,,0
6,B,"Do you, do you think that, that we should have given up the Panama Canal?",minor topic start,,Talking about Panama Canal,1
7,A,"Uh, realistically, I,",,,,1
8,A,"yes,",,,,1
9,A,"I don't see the, the Panama Canal that hasn't had a whole lot of usefulness to us recently since it's not, not really big enough to, uh, accommodate the, the shipping that it once did",,,,1
10,A,"and, uh, maybe it would be better that we let the Panamanians run it however, I think, we're certainly justified in, uh, our actions dealing with, uh, Noriega in this ...",,,,1
11,B,"Well, there are those that, that, that think that, that, that the Panama Canal has some considerable strategic importance, particularly for the military.",,,,1
12,B,"Interestingly enough my father was, who was in World War One, and as, uh, as a civil engineer they, they, they offered him a commission as a captain if he would, uh, go in and, and, uh, help with the defenses of the Panama Canal.",,,,1
13,B,"He had worked for United Fruit Company there,",,,,1
14,A,Uh-huh.,,,,1
15,B,"and they, uh, they, in fact, they had,",,,,1
16,B,"this was in the, the late twenties",,,,1
17,B,and they in fact used some of the equipment that had been left over,,,,1
18,B,"and, uh, he turned them down.",,,,1
19,B,"It, it's interesting that, that most people don't realize how small the canal is.",minor topic end,,,1
20,B,Have you ever been there?,,,,0
21,A,"No,",,,,0
22,A,I haven't.,,,,0
23,B,"It's, it's really,",,,,0
24,B,"I, I haven't been there,",,,,0
25,B,"I've been to, been to Salvador",,,,0
26,B,"and, and, uh, in fact, we went back to visit some friends of, of my fathers, that we went in fifty-seven I guess.",,,,0
27,B,"And interestingly enough the canal is quite small and, and realistically could be sabotaged quite, quite easily.",,,,0
28,B,"The thing I find interesting, though, is that, uh, is the whole colonial approach",off topic start,,Talking about colonial approach,2
29,B,"and, and, and do we, do we support the Sandinistas or, or do we support, uh,",,,,2
30,B,"you know, when they thought, uh, they thought that Nicaragua, if you gave them a free election, they would vote for the,",,,,2
31,B,"Will you, uh,",,,,2
32,B,"did you ever studied the, the political makeup there, in, in, in Nicaragua.",,,,2
33,A,"I have a, a little bit,",,,,2
34,A,"I can't say that I'm, I would be an, an expert on, on the region,",,,,2
35,A,"but, uh, certainly, uh, I, it, it gets, it there,",,,,2
36,A,"your,",,,,2
37,A,"you've got this, this toss up",,,,2
38,A,"or not, not so much a toss up but a, a dilemma when, when you want a country to have its, its, um, own, uh, dominion, or its free rein over its, its own people.",off topic end,,,2
39,A,"and now we're, we're in this dilemma over, uh, United States is, believes in democracy and, and self determination, where",,,,0
40,A,but that,,,,0
41,A,"on the other hand we believe in self preservation and, uh, agree with the, or, not so much agree with but are terribly concerned about, uh, Soviet influence in, in what's considered to be the United States sphere of the world which is not only, you, we used to see spheres",,,,0
42,A,"but now we're in a situation where the United States is, looks like we're it now.",,,,0
43,B,"Well the interesting part about it is that, if, realistically it was economic.",,,,0
44,B,I don't know if you read any of the history on where the Panama Canal,,,,0
45,B,"but there was an option to build it across Nicaragua,",,,,0
46,B,"uh, and, uh, there were, uh, there's a big, there's a big lake,",,,,0
47,A,Uh-huh.,,,,0
48,B,"and, um, from a technical standpoint it wouldn't have been a lot more difficult to have built it in Nicaragua,",,,,0
49,B,"but the, the United States, uh, had some,",,,,0
50,B,and I've forgotten what the political influence was,,,,0
51,B,but there were economic ties then.,,,,0
52,B,"The issue of, of",,,,0
53,B,"if, if it's in the economic interest of the United States, uh, do we go in and, and prevail",,,,0
54,B,"and, and, uh, in other words do we make the world safe for democracy,",,,,0
55,A,Right.,,,,0
56,B,"but if there's no economic benefit,",,,,0
57,B,"and I think particularly if you're, if you're looking at the, at the, at the peasant, uh, whether he's in Central America, regardless of where he is, is his life, is his life better off under communism or, or uh, or Democratic government.",minor topic start,,Talking about Communism and Decomcracy,1
58,B,"You look at Salvador where the,",,,,1
59,A,"Well he doesn't care as long as he's feeding his, uh, his family.",,,,1
60,B,"Yeah,",,,,1
61,B,"and, and the question is, does the government make a difference.",,,,1
62,B,"If they'll mostly leave him alone, uh,",,,,1
63,B,"and I think that's the difficulty they, that, that we have that, uh, it, it reality doesn't make, uh, doesn't make any difference if he has no income.",,,,1
64,B,"And apparently even some of our alleged, uh, Central American leaders that, uh, are mostly democratic have done some pretty terrible things,",,,,1
65,B,"so it's, uh,",,,,1
66,A,"Yeah,",minor topic end,,,1
67,A,"well,",,,,0
68,A,"in looking,",,,,0
69,A,"if you look at the region in, in, uh,",off topic start,,Talking about Spanish control,2
70,A,"to their detriment they came from, uh, this, uh, hundreds of years of Spanish control",,,,2
71,A,"and the, and the Spaniards have, uh, horrible history of corrupt, uh, government, greedy, uh, rulers who have been, uh, manipulating, manipulating their public for their own, their own good.",,,,2
72,A,"I mean, if you go back to the kings and, and the, the conquistadors coming in and, and the incredibly horrible things they did to the, uh, the native tribes,",,,,2
73,A,"I mean they make, uh, they make the things that Custer did look like, uh, like trivial.",,,,2
74,A,"And, uh, you get,",off topic end,,,2
75,B,"It is, it is interesting, that, that, you know we, we look at the exploitation",minor topic start,,Talking about exploitation by countries,1
76,B,"and, and, and then we accuse some other people of exploiting them",,,,1
77,B,"and, and Americans have, uh, have a pretty good reputation of exploiting,",,,,1
78,B,"you know we basically the Panama Canal we went in and, and took it.",,,,1
79,A,"Oh, absolutely",,,,1
80,A,"and, you know we set up ...",,,,1
81,B,"and we stole it fair and square,",,,,1
82,A,"An,",,,,1
83,A,"I mean, Ted, Teddy Roosevelt didn't have the reputation, speak softly and carry a big stick for, uh, for nothing",,,,1
84,A,"and, uh,",,,,1
85,A,Right.,minor topic end,,,1
86,B,"what's the, what's America's role there",,,,0
87,B,"and it, it, uh,",,,,0
88,B,"with, with other things going on, it, it seems to have lessened,",,,,0
89,B,"but you've still got, uh, Cuba that accepts, exerts some influence.",,,,0
90,A,"The only, the only thing I see about Cuba though, is, uh, after Fidel Castro dies, I don't think they'll be a communist power anymore.",minor topic start,,Talking about communism,1
91,A,"I, I can't see communism in that country carrying on past him.",,,,1
92,B,"Well, when you take a, a situation where I think in particular in Salvador where there is a significant under class excuse me,",,,,1
93,B,"and that, uh,",,,,1
94,B,"you know, having a, a lot of difficulty, uh, surviving, uh, the question is would they, you know, would they be better off under communism.",,,,1
95,A,Yeah.,,,,1
96,B,"and I wouldn't, don't know that I would advocate communism",,,,1
97,B,"but, uh, the question is can, uh, can you, can, uh, can a democracy, uh, afford the,",,,,1
98,B,"it's like the street people that are starting to show up all other the U S, is that, that's essentially an underclass",,,,1
99,A,Right.,,,,1
100,B,"and when you get enough of them, uh, you know communism would feed them all.",,,,1
101,A,"well, I, I don't know if maybe communism is the right, the right word for it",,,,1
102,A,"but what we would,",,,,1
103,A,"there would have to be some kind of,",,,,1
104,A,"there, there may be a point at which, at which, you've, uh, you might want to consider some kind of socialistic, uh, organization or socialistic set up to, to deal with the problem and then be able to gradually transform back to a democracy.",minor topic end,,,1
105,B,"Well that,",,,,0
106,B,"yeah,",,,,0
107,B,"if the guys got some incentive,",off topic start,,Talking about incentive for people/organizations for them to help transform the country back to democracy,2
