,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Alright Allen.,,,,0
1,A,"Uh, the questions is concerning the changes in the roles of American women in the past several generations and you know, in their, the society we live in.",Major Topic - start,,"Role of women in American society, past and present",0
2,A,What do you think has occurred there?,,,,0
3,B,"Well, I think one of the major changes is the whole attitude towards women in the work place and the role of women in doing jobs outside of the home.",,,,0
4,B,That's probably one of the major changes I see over the last period of time.,,,,0
5,A,Uh-huh.,,,,0
6,A,"But are, are they being given the full honor for the work they are doing and for the, uh, oh my gosh, I can't think of the word, but for the, what they have to accept that's they are responsible for.",,,,0
7,A,"Uh, responsibilities is what I am trying to say.",,,,0
8,B,"Oh, I don't think so.",,,,0
9,B,I think it has come a long ways in terms of giving them equal opportunities,,,,0
10,A,Uh-huh.,,,,0
11,B,but I still think in lots of job markets they are not treated as equals.,,,,0
12,B,"In other words, in some respects the other direction, in some job markets they don't really want to be treated as equals.",,,,0
13,A,"By the same token, most, in most cases, women have the jobs with the same responsibility of men who have been there before, but at lower salaries.",Minor Topic - start,,Salary comparision,1
14,B,Yes,,,,1
15,B,"I think  that's  generally speaking, pretty true.",,,,1
16,A,Is that right and wrong?,,,,1
17,B,"And I think that's what we really ought to look at that, going is, if they are going to do equal work they ought to get equal pay.",,,,1
18,A,Yes.,,,,1
19,B,"And that, uh, they ought to have equal opportunities to advance to those positions",Minor Topic - end,,,1
20,A,Uh-huh.,,,,0
21,B,and I don't think that we have gotten there yet.,Major Topic - end,,,0
22,A,Yeah.,,,,0
23,A,"Well, what changes do you think are most significant over the past few years?",Major Topic - start,,"Switch over, to men also taking up household work",0
24,A,Any individual thing,,,,0
25,B,"Oh, boy.",,,,0
26,A,or is it just a general switch over?,,,,0
27,B,I think it's generally that switch over.,,,,0
28,B,"And, and I think that switch over has been more in the work force.",,,,0
29,B,I don't think that women are treated as equals in the home as much as they are in the work force.,,,,0
30,B,"I think those women who are out working are probably still expected to carry more responsibility at home that the husband is having them, on the other side of that coin picked up as much responsibility at home.",,,,0
31,A,Uh-huh.,,,,0
32,B,So they have one and three quarters jobs now. Whereas the husbands have one and a quarter.,,,,0
33,B,Yeah.,,,,0
34,A,and this upsets the man because we have always been built to think that we were sort of head of the household.,,,,0
35,A,"So do you think that is going to be uh, difficult saying as far as marriages and people enjoying each other in the future years?",,,,0
36,B,Yes.,,,,0
37,B,Yeah.,,,,0
38,B,I think also in terms of parenting.,Minor Topic - start,,Parenting by men,1
39,B,I think there is going to be some increasing problem because I think women are expecting husbands to do more parenting,,,,1
40,B,and I am not sure they are becoming more skilled at it.,,,,1
41,A,Uh-huh.,,,,1
42,B,So I think it really has put some additional stresses on the family units.,Major Topic - end,Minor Topic - end,,1
43,A,"Well, do you have any opinion of potential changes that may occur in the next generation, specifically?",Major Topic - start,,Next generation for women,0
44,B,"Well, I, I think one of the things that always happens is I think is when the one end you know were moving out to the end where a lot of women will be at work",,,,0
45,A,Uh-huh.,,,,0
46,B,and then I think we are starting to see now some tendency of women at mid thirties,,,,0
47,B,and so the opinion of this career thing isn't all that it is cracked up to be,,,,0
48,B,and I want to go back and do something else.,,,,0
49,B,I think we will probably see the pendulum in terms of the work force swing back a little bit.,,,,0
50,A,Uh-huh.,,,,0
51,B,"Also, much of it is driven by economics right now.",Minor Topic - start,,Again salary inequality,1
52,A,Yes.,,,,1
53,B,People have gotten out and gotten use to incomes coming in.,,,,1
54,A,"Well, I actually,",,,,1
55,A,a lot of women are being hired now instead of men because they can get brought in at lower salaries because that's what everybody else assumes they are going to get.,,,,1
56,B,Yeah.,,,,1
57,A,And the people.,Major Topic - end,Minor Topic - end,,1
58,A,"Well, how do you feel about women in, uh, armed services?",Major Topic - start,,Women in armed services,0
59,B,"Well, I think they ought to have the right.",,,,0
60,B,I have some problems with my own family thinking about my wife going to or my wife and my daughter going into combat,,,,0
61,A,Yeah.,,,,0
62,B,but I have problems with men doing that,,,,0
63,B,and I guess if they want to they ought to have the right to do it.,,,,0
