,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Hi,opening,,,0
1,A,you want to start first,,,,0
2,B,Of course.,major topic start,,Whether or not nursing homes are a good option,0
3,B,"We are talking about the elderly and, uh, whether or not we we like nursing homes",,,,0
4,A,Right.,,,,0
5,B,"and, as a matter of fact, I can tell you something about that.",,,,0
6,A,Uh-huh.,,,,0
7,A,"You apparently have somebody there, in one.",,,,0
8,B,"No,",off topic start,,B Talking about his/her grandmother and mother running a nursing home,2
9,B,"actually, my grandmother owned and operated a nursing home for years",,,,2
10,B,"and her mother,",,,,2
11,A,"Oh, you are kidding?",,,,2
12,B,"No,",,,,2
13,B,she did.,,,,2
14,A,Oh.,,,,2
15,B,"And then my mother also owned and operated a nursing home, for years. And then, uh, went on back to school and became the director of nurses at a nursing home",,,,2
16,A,Uh-huh.,,,,2
17,A,I will be darned.,,,,2
18,A,Uh-huh.,,,,2
19,B,"And, uh, my mother and my older sister both are geriatric nurses.",,,,2
20,A,"Oh, for heaven's sake.",,,,2
21,B,"So, I do know something about that.",,,,2
22,A,"You are very, very much aware of what goes on.",,,,2
23,B,Absolutely.,,,,2
24,A,That is great.,,,,2
25,B,"Actually, the motivation for Grandmother entering the business, was that her mother was very old, and couldn't seem to find companions.",,,,2
26,A,Uh-huh.,,,,2
27,A,Uh-huh.,,,,2
28,A,"Uh-huh,",,,,2
29,A,uh-huh.,,,,2
30,B,She was lonely.,,,,2
31,A,Right.,,,,2
32,B,"And she needed company, for her mother",,,,2
33,A,Right.,,,,2
34,B,and so she opened a nursing home and initially started with eight ladies.,,,,2
35,A,I will be darned.,,,,2
36,B,"And then, uh, it, it grew into a, very prosperous business from that point.",off topic end,,,2
37,A,"Uh-huh,",minor topic start,,When should one shift to a nursing home,1
38,A,"uh-huh,",,,,1
39,A,uh-huh.,,,,1
40,B,"Uh, then they,",,,,1
41,A,"Now, see that is a nice attitude to go into.",,,,1
42,B,Uh-huh.,,,,1
43,A,"Uh, it seems like they must be waiting until it is a necessity",,,,1
44,B,Uh-huh.,,,,1
45,A,"and there is no chance of, uh, good companionship or doing anything.",,,,1
46,B,"Well, that is not really true, either, uh,",,,,1
47,B,"I think that is a stigma and an I, and an impression that has come from some few bad experiences.",,,,1
48,A,Uh-huh.,,,,1
49,B,"You see, those who had bad experiences talk about them.",,,,1
50,A,"Uh, right,",,,,1
51,A,right.,,,,1
52,B,"And those who do not may write, a letter to the nursing home and say you did good,",,,,1
53,A,Uh-huh.,,,,1
54,A,Uh-huh.,,,,1
55,B,but they do not talk a whole lot about that.,,,,1
56,A,That is true.,,,,1
57,A,"But what I mean is instead of maybe entering a nursing home, when you are still able to have good, relationships with, maybe other friends they wait until they are, you know, unable.",,,,1
58,B,Uh-huh.,,,,1
59,B,Uh-huh.,,,,1
60,B,Uh-huh.,,,,1
61,B,Sure.,,,,1
62,B,"Well now, That is right.",,,,1
63,B,"Well, that is because they wait until the children make those choices, they choose to not make those, choices themselves.",minor topic end,,,1
64,A,Right.,,,,0
65,A,"Right,",,,,0
66,A,right.,,,,0
67,B,"However, my daughter-in-law also is a nurse in a nursing home.",minor topic start,,B talking in favour of all the amenities of nursing homes over their short comings,1
68,A,Uh-huh.,,,,1
69,B,"And, uh, she works for one here in Dallas, which is more a retirement village than it is a nursing home.",,,,1
70,B,"And these, these,",,,,1
71,A,"Uh, uh-huh.",,,,1
72,B,"I love watching these elderly people come, they will come and tell her. ""Well I am going for my, tennis lessons.",,,,1
73,A,Uh-huh.,,,,1
74,B,"And, uh, would would you, you know, call down and have the van come around and take, us for our tennis lessons.""",,,,1
75,A,"Uh-huh,",,,,1
76,A,uh-huh.,,,,1
77,B,And they are very active and very enthusiastic,,,,1
78,B,"and they have, some excellent programs right there on site.",,,,1
79,A,Uh-huh.,,,,1
80,A,Yeah.,,,,1
81,B,"Their dining room looks like, you know, Luby's Cafeteria.",,,,1
82,A,Yeah.,,,,1
83,A,That is great.,,,,1
84,B,"Or, or one of the lovely cafeterias.",,,,1
