,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Start.,,,,0
1,B,What kind of recycling programs do you have in Rowlett?,Major Topic Start,,Talking about recycling,0
2,A,"Um,",,,,0
3,A,"well right now they've got a, kind of a central location off of the main highway,",,,,0
4,A,"and they've got some great big bins there for newspaper, um, plastic, um, I think three bins for glass, white, green, and whatever other combination there is.",,,,0
5,A,"And, and I think they've got a uh, some kind of container for aluminum.",,,,0
6,B,Plano's doing real good on that.,,,,0
7,B,"They have, uh, they start off putting out great big huge garbage cans. Which we're supposed to put all our week's garbage into it,",,,,0
8,A,Uh-huh.,,,,0
9,B,and of course it doesn't fit right now.,,,,0
10,A,Yeah.,,,,0
11,B,"But now we start in May, breaking it down,",,,,0
12,B,and they're picking it all up.,,,,0
13,A,Um.,,,,0
14,B,"So they're going to by,",,,,0
15,B,"and we have to separate our papers, and our glass,",,,,0
16,B,"and then, uh, they have one day for, like, um, oh, everything you picked up from your yard,",,,,0
17,A,Uh-huh.,,,,0
18,B,"and  we put that in disposable bags,",,,,0
19,B,and they pick that up on Monday.,,,,0
20,A,Um.,,,,0
21,B,So it's really great.,,,,0
22,B,"I, I'm really going head, you know, completely for it,",,,,0
23,B,I think it's marvelous.,,,,0
24,A,"Well, that's good.",,,,0
25,A,"Well, Rowlett had sent, sent out a survey, not too long ago, um, in terms in how many people were interested in having a, a pick up, I guess, on the days they do trash or something like that.",,,,0
26,A,"And apparently a lot of people responded to it favorably, because they're going to do it.",,,,0
27,A,"I don't know how, how soon they're going to do it, or how organized it's going to be,",,,,0
28,A,"but they're, they're supposed to initiate that sometime in the next couple of months.",,,,0
29,B,"Well, does your, uh,",Minor Topic Start,,Talking about aluminium recyclng,1
30,B,"where you work, do they also have aluminum cans pickups and things like that?",,,,1
31,A,"Um, I've never noticed that.",,,,1
32,A,"We don't have a, a whole lot, because we're in a hospital setting,",,,,1
33,A,"so most of the things we have are through our cafeteria. Um,",,,,1
34,B,"Well, down in the cafeteria do they have any place where you can put your, you know, pop cans, and things like that?",,,,1
35,A,"Um, no.",,,,1
36,A,"There's, there's only one pop machine",,,,1
37,A,"and it's not accessible to the cafeteria now,",,,,1
38,A,"so, uh, mainly what they serve in there is juice and coffee and tea.",,,,1
39,B,So you don't have much choice there.,,,,1
40,A,No,,,,1
41,A,"Not, not really.",,,,1
42,B,"Well I work at, uh, J C Penny",,,,1
43,B,"and last week they brought,",,,,1
44,B,they have a sign up that says for one full week you bring in your old wire hangers,,,,1
45,A,Uh-huh.,,,,1
46,B,and they're going to recycle them.,,,,1
47,A,Um.,,,,1
48,B,So it's getting people clean out their closets and such.,,,,1
49,A,Uh-huh.,,,,1
50,B,"And then like, the week before that, they said go through your cupboards and any food that is still good, bring it in",,,,1
51,B,and they brought it down to the shelters.,,,,1
52,B,"And, they have, one, two, they have three, I think, that I know of for cans for people have pop,",,,,1
53,A,Uh-huh.,,,,1
54,B,and they put them right near where they have the time cards.,,,,1
55,A,Yeah.,,,,1
56,B,And it works great.,,,,1
57,B,And they have one in the room where the snack machines are too.,,,,1
58,A,That's good.,,,,1
59,B,"So they're really going at it,",,,,1
60,B,"and I think it's marvelous because,",,,,1
61,A,Yeah.,,,,1
62,A,"I, I guess Rowlett's done a lot for the size town it is.",,,,1
63,B,"Well,",,,,1
64,A,"And I think they're trying to, to make some changes.",,,,1
65,A,"I, I noticed at the library or someplace this past, uh, month, month and a half ago, they were having a speaker, um, talk about doing lawn work and, how important it is to, to cut your lawn without a bag. Just to kind of mulch it,  rather  than bag it up, because of all the the grass that's being bagged and being hauled away by the garbage trucks and stuff,",,,,1
66,B,Uh-huh.,,,,1
67,A,"and it's, uh, I guess a lot more ecological to just mow the grass and let it work its way back into the soil.",Minor Topic End,,,1
68,B,"Well, did you watch the program the other night on, um, was it SAVE AMERICA?",Minor Topic Start,,Talking about SAVE AMERICA,1
69,A,I saw part of that.,,,,1
70,B,It was good.,,,,1
71,B,"The only thing I thought, um, that I haven't been trying, is when I, you know, go to take a shower, to save the water,  and  to put it on my plants. Which I had never thought about before.",,,,1
72,A,Uh-huh.,,,,1
73,A,Uh-huh.,,,,1
74,B,"But I've already gone to,",,,,1
75,B,"oh I started years ago, I guess, not years ago,",,,,1
76,B,"but, yeah",,,,1
77,B,"I would say five years ago, turning off my fountain, I mean my water faucet,  in  the sink when I brush my teeth.",,,,1
78,A,Uh-huh.,,,,1
79,B,But I didn't realize that was the biggest waste of water.,,,,1
80,A,Yeah.,,,,1
81,B,That  was surprising to me.,,,,1
82,A,Um.,,,,1
83,B,"I missed that question, totally, I mean really bad.",,,,1
84,B,"I'm trying to think,",,,,1
85,B,"I didn't miss too many,",,,,1
86,B,"I can't remember what my score was,",,,,1
87,B,but I did exceeding well.,,,,1
88,B,I was surprised.,,,,1
89,B,But I didn't realize that our garbage isn't being decomposed.,,,,1
90,B,That was a shocker to me.,,,,1
91,A,"Yeah,",,,,1
92,A,"well there are a lot of things that aren't,",,,,1
93,A,"I'm ,",,,,1
94,A,"that's, uh, one of the things I wonder about,",,,,1
95,A,"uh, one of the questions was, do you think more should be done, or something else.",,,,1
96,A,"I, I wonder about some of the products that they don't take, like some of the plastics and things that they don't take. Uh, why, why they couldn't do more recycling with those.",Minor Topic End,,,1
97,B,"Well, I was in, uh, Bizmart the other day,",Minor Topic Start,,Talking about cost of recycling,1
98,B,"and, what I don't understand is there is recycled paper in there,",,,,1
99,B,and it cost more than regular paper.,,,,1
100,A,Um.,,,,1
101,B,"And it was only, I think, uh, forty cents more, you know, fifty cents more,",,,,1
102,B,"but, It upset me to realize that, hey, the recycling that they're going through the expense of recycling,",,,,1
103,A,Yeah.,,,,1
104,B,"but people aren't buying it,",,,,1
105,B,so the cost of it is higher.,,,,1
106,A,True.,,,,1
107,A,"Yeah,",,,,1
108,A,I noticed that about things like,,,,1
109,A,"I I seen a lot of adds recently for organic fertilizers and, and lawn additives and that type of thing,",,,,1
110,A,"but the cost is, is like, double or sometimes triple,  what  the regular things you, fertilizers and things you buy.",,,,1
111,B,Uh-huh.,,,,1
112,A,"So, in, in terms of that,",,,,1
113,A,"it's,",,,,1
114,A,"you know, and, for the environment it's, it's, there's a good reason to do it,",,,,1
115,A,but the cost is kind of prohibitive.,,,,1
116,B,"Now, see that's recycling, you know,",,,,1
117,B,"companies that do at least go into it,",,,,1
118,B,"I'd like to see subsidy by the government or something, or tax-wise or something, heavily enough to where they could get their prices lower than regular.",,,,1
119,A,Uh-huh.,,,,1
120,B,So that people would use this stuff over again.,,,,1
121,A,"Yeah,",,,,1
122,A,it's a good idea.,Minor Topic End,,,1
