,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,B,What's your favorite T V show?,major topic start,,they discuss the various TV Shows they like,0
1,A,"Oh. You know, I used to like ST. ELSEWHERE.",minor topic start,,talking about ST. ELSEWHERE,1
2,B,Uh-huh.,,,,1
3,A,That's one of my old favorites.,,,,1
4,A,"Um, and that's,",,,,1
5,A,"I'm being beeped,",,,,1
6,A,so I'll just ignore it.,minor topic end,,,1
7,A,"Um, and now, I, I did like THIRTY SOMETHING",,,,0
8,B,Uh-huh.,,,,0
9,A,"oh, yes,",,,,0
10,A,my daughter says NINE OH TWO ONE OH.,minor topic start,,talkig about NINE OH TWO ONE OH,1
11,A,We like that one.,,,,1
12,B,"Yeah,",,,,1
13,B,that's one of my favorites.,,,,1
14,A,"Good,",,,,1
15,A,and how old are you?,,,,1
16,B,I'm twenty-eight.,,,,1
17,A,"Oh, so you're little bit younger than I am,",,,,1
18,A,"but yeah,",,,,1
19,A,"I think if my seventeen year old, my fourteen year old, my other two children like it,",,,,1
20,A,"I'm over forty,",,,,1
21,A,and I like it.,,,,1
22,A,I think it's wonderful.,,,,1
23,B,"Yeah,",,,,1
24,B,it's a good show.,minor topic end,,,1
25,B,"I like MURPHY BROWN and DESIGNING WOMEN, too.",minor topic start,,talking about MURPHY BROWN and DESIGNING WOMEN,1
26,A,"Oh, yeah,",,,,1
27,A,"now see, I, we are so busy with, all of our kids are in sports,",,,,1
28,A,"and I hardly ever watch T V,",,,,1
29,A,"but that's one that, that we watch.",minor topic end,,,1
30,A,"And then Sunday nights we watch, uh, LIFE GOES ON.",minor topic start,,talking about LIFE GOES ON,1
31,B,"Yeah,",,,,1
32,B,"I like that,",,,,1
33,B,"that's, that's a good show, too.",,,,1
34,A,Very good.,,,,1
35,A,Did you see the one on Sunday?,,,,1
36,B,"Yes,",,,,1
37,B,"it was a, uh, uh",,,,1
38,B,"I did miss that Sunday,",,,,1
39,B,no,,,,1
40,B,I didn't.,,,,1
41,A,That one kid that Becca likes he has AIDS.,,,,1
42,B,"Yeah,",,,,1
43,B,it's a good episode.,,,,1
44,B,"Yeah,",,,,1
45,B,"the, the new character on there did.",,,,1
46,A,"Right,",,,,1
47,A,right.,,,,1
48,A,All the way to North Carolina.,minor topic end,,,1
49,A,What time is it there?,off topic start,,talking about the time difference between North Carolina and here,2
50,B,"Uh, it is twenty minutes to nine.",,,,2
51,A,"Oh, my gosh.",,,,2
52,A,"See, I'm twenty minutes to six here",,,,2
53,B,Three hours difference.,,,,2
54,A,"Yeah,",,,,2
55,A,yeah.,,,,2
56,A,Okay.,off topic end,,,2
57,A,What else do you like?,,,,0
58,B,"Uh, let's see, I like a lot of different shows.",,,,0
59,B,"Let's see, um, I like MURDER, SHE WROTE.",,,,0
60,B,"That's, that's,",,,,0
61,A,"Oh, I never, I never watched that ever in my entire life.",,,,0
62,B,And MATLOCK is another good one I watch.,,,,0
63,A,Uh-huh.,,,,0
64,B,"Um, then during daytimes I like, I like ALL MY CHILDREN.",minor topic start,,talking about ALL MY CHILDREN,1
65,A,A small bowl will be plenty.,,,,1
66,A,"Oh, that's mine.",,,,1
67,A,"That's the only one I watch whenever I, oh,",,,,1
68,A,a small bowl will be better because it's pretty fattening.,,,,1
69,A,Talk to my daughter.,,,,1
70,A,"Um, um,",,,,1
71,B,"ALL MY CHILDREN,",,,,1
72,B,I've watched that for about twelve years.,,,,1
73,A,"Yeah,",,,,1
74,A,"I've, I'm sure I watched it for more than that probably.",,,,1
75,A,Twenty something.,minor topic end,,,1
76,A,"I used to watch GENERAL HOSPITAL when I was a teenager because I,",minor topic start,,talking about GENERAL HOSPITAL,1
77,B,I quit watching GENERAL HOSPITAL when Leslie got killed.,,,,1
78,A,Oh.,,,,1
79,B,So that was a long time ago.,,,,1
80,B,"I used to watch it, was in high school and college when Laura's mother got killed.",,,,1
81,A,Right.,,,,1
82,B,She was my favorite character on there.,,,,1
83,B,"I just,",,,,1
84,B,"I read the reason she got, they, they killed her off was because they couldn't settle a contract,",,,,1
85,B,"and I said, well, if they're going to do that to her, I won't watch it.",minor topic end,,,1
86,A,"Oh, that's great.",,,,0
87,A,"Well, I do like ALL MY CHILDREN,",major topic start,,talking about ALL MY CHILDREN,0
88,A,"and I, and I like it, you know, I don't know.",,,,0
89,A,"I just,",,,,0
90,A,"I like the people on it, I guess, you know.",,,,0
91,B,"I, I, I like it.",,,,0
92,B,I just wish they'd bring some of the old characters back.,,,,0
93,A,"Yeah,",,,,0
94,A,"well, Tad's going to come back, I bet, do you think?",,,,0
95,B,"Yeah,",,,,0
96,B,I'm sure he will.,,,,0
97,A,"He'll come back, show up at just the right moment.",,,,0
98,B,"I kind of wish that, uh, Nina would come back because she because the story, you know,",,,,0
99,A,Oh.,,,,0
100,B,"just for a brief visit or whatever, because it never has been resolved with Palmer remarrying, and everything,",,,,0
101,A,"Yeah,",,,,0
102,A,"like Daisy, pops in once in a while,",,,,0
103,A,"and, I forgot about Nina and Cliff, right.",,,,0
104,B,"Yeah,",,,,0
105,B,Cliff's on THE YOUNG AND THE RESTLESS now.,,,,0
106,A,"Oh, he is.",,,,0
107,A,So he's out for good.,,,,0
108,B,"Yeah,",,,,0
109,B,he's out for good.,,,,0
110,A,Did they marry?,,,,0
111,B,Uh,,,,0
112,A,Nina and Cliff?,,,,0
113,B,"that's how they left the show, but not in real life.",,,,0
114,A,Um.,,,,0
115,B,"Now she's married to some guy in New York,",,,,0
116,B,and she's happily married,,,,0
117,B,and that's the reason she left the show.,,,,0
118,B,I guess she wanted a private life.,minor topic end,,,0
119,A,"Oh, okay,",,,,0
120,A,"oh, see I, I, I watch it maybe twice a month,",off topic start,,talking about their schedules and when they find time to watch shows,2
121,A,"so, I don't watch it everyday like I did when I had babies.",,,,2
122,B,"Oh, well, I, I watch.",,,,2
123,A,Because I play lots of tennis,,,,2
124,A,"and I'm gone a lot,",,,,2
125,A,"so, I don't get to watch,",,,,2
126,B,"I watch it everyday, religiously.",,,,2
127,B,I videotape it when I have to miss it.,,,,2
128,A,"Oh, no kidding.",,,,2
129,B,Yeah.,,,,2
130,A,"I use to be, I used to be like that",,,,2
131,B,I'm that way about a lot of different shows.,off topic end,,,2
132,B,"I'm that way about MURPHY BROWN, DESIGNING WOMEN.",,,,0
133,A,"Now isn't DESIGNING WOMEN, don't they have a new chick on there instead of the, instead of what's her name?",minor topic start,,talking about DESIGNING WOMEN,1
134,B,"Uh, yeah,",,,,1
135,B,there's two new characters on there.,,,,1
136,B,"There's, um, uh, Jan Hooks from SATURDAY NIGHT LIFE.",,,,1
137,B,I don't know if you know her or not.,,,,1
138,A,Huh-uh.,,,,1
139,A,That's a show I like.,,,,1
140,B,"And then, and then, uh, uh, the blond headed girl that used to be on NEWHART.",,,,1
141,A,"Oh, yeah, oh.",,,,1
142,B,"I don't like her on it,",,,,1
143,B,"I never have liked her,",,,,1
144,B,so.,,,,1
145,A,"Well, I, I just know which one she is.",,,,1
146,A,"I don't, you know.",,,,1
147,B,"She's taken the Suzanne's part,",,,,1
148,B,and then Jan Hooks has taken Charlene's part.,,,,1
149,A,Charlene was Delta Burke?,,,,1
150,B,"Charlene was Jean Smart, the blond headed.",,,,1
151,A,"Oh, okay,",,,,1
152,A,"well, see, I never watch that one either.",minor topic end,,,1
153,A,"I really don't watch a whole lot of T V, just, you know, on Sunday nights,",,,,0
154,A,"LIFE GOES ON comes on about the time that we eat dinner,",,,,0
155,A,"and my whole family's home, because I don't allow the kids out on Sunday night you know, because they've got to go to bed and go to school the next day,",off topic start,,talking about their Saturday night schedules,2
156,B,Yeah.,,,,2
157,A,"and so we, we sit around and eat popcorn",off topic end,,,2
158,A,"and, oh, then we watch AMERICA'S FUNNIEST HOME VIDEOS.",,,,0
159,A,Those are always pretty cute.,,,,0
160,B,"Well, MURDER, SHE WROTE comes on opposite of that,",,,,0
161,B,"and so,",,,,0
162,A,"Oh, so you don't watch that one instead of,",,,,0
163,B,Yeah,,,,0
164,B,"I I pick nights pretty much so on T V that I watch different networks,",,,,0
165,B,"but BEVERLY HILLS NINE OH TWO ONE OH, I, I watch it religiously.",minor topic start,,talking about BEVERLY HILLS NINE OH TWO ONE OH,1
166,A,Sure.,,,,1
167,A,"Yeah,",,,,1
168,A,we like that real well.,,,,1
169,B,"It,",,,,1
170,B,be sure to watch it tomorrow night because somebody's getting killed on it.,minor topic end,,,1
171,A,Uh-huh.,,,,0
172,A,I know.,,,,0
173,A,"The kids already know who it is,",,,,0
174,A,"I don't know who it is, though,",,,,0
175,B,Who is it?,,,,0
176,B,Ask them,,,,0
177,A,Let me ask Nicole.,major topic end,,,0
