Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"So, P C personal computers.",,,
A,Do you have a personal computer?,,,
B,No,,,
B,"I don't, not at home.",,,
A,Uh-huh.,,,
B,I work with them quite a bit though.,,,
A,"Uh-huh,",,,
A,"I, I work with them at Kelly Services, doing, uh, data entry.",,,
B,"Oh, okay.",,,
A,Uh-huh.,,,
A,"What do you, what do you think about them?",,,
B,"Well, I think they're useful,",,,
B,"I think they're in some instances they're, they're over used,",,,
B,"well, that's not the right way to say it.",,,
A,You mean instead of people,,,
A,"or,",,,
B,"Well I think that, uh, some, some work places where I've been they, they set up",,,
B,"like every body has their own P C which a lot of times everybody doesn't need a P C,",,,
A,Uh-huh.,,,
B,"and it really,",,,
B,"without them knowing how to use it properly, it slows them down, more than it helps them accomplish something.",,,
A,Right.,,,
B,They spend more time messing with the P C than they would actually accomplishing the tasks that they're trying to do if they didn't have a P C at all.,,,
A,Uh-huh.,,,
A,"And you really have to be able to type pretty fast before, you know, before it really saves time.",,,
B,"Uh-huh,",,,
B,that's true.,,,
A,Uh-huh.,,,
B,"And you have to, you know, be familiar with it,",,,
B,"like there're so many different software packages, it, you have to be familiar with the one that you're going to be using most.",,,
A,Uh-huh,,,
B,"A lot of times, uh, people know about half of the capabilities of a package that they should know to actually be able to use it properly,",,,
B,"and so they waste more time with their trying to, uh, figure out how to do, you know, other things, than they would if they, if they actually understood what they were trying to do.",,,
B,"You know, like, uh, they want to, to format a report a certain way",,,
A,Uh-huh.,,,
B,"and if they really understood the capabilities of the package they could, they could do that in about, you know, half the time that they spend trying to figure out how to do it without spending the time to learn the package properly.",,,
A,"To set up the boundaries correctly, and how many lines you're going to use in an,",,,
B,"Right,",,,
B,exactly.,,,
B,Uh-huh.,,,
B,"A lot of times they, they, they do it manually on the computer, which just really is a waste of time,",,,
B,"and then, if they ever have to change anything in that, in that, in the document, they have to go back and redo it all manually, whereas if they had learned the package properly to start with and had set it up correctly, the package would do that for them whenever they wanted to make a change,",,,
A,Uh-huh.,,,
A,"Can't you, can't you put, Can't you put it on a disk and then just edit it, if you need to when you go back.",,,
B,"so I, I've seen that as a problem.",,,
B,"Right,",,,
B,"but in some, in some cases the with the formatting, what I'm talking about is that they would set up, they set up a certain document,",,,
B,and it may be eight pages long.,,,
A,Right.,,,
B,"And they set it up manually, so that they have all their spacings and formattings and tabs set manually.",,,
A,Uh-huh.,,,
A,"And and um,",,,
B,"And, um, then when they have to make a change, say they want to insert a paragraph. They got to go through the document and reset all the page breaks manually and rewrite the whole thing instead of having the,",,,
A,Rewrite the whole thing.,,,
B,"if, if they had set up the formatting on the system itself, it would do that for them, and save them a lot of time.",,,
B,But a lot of people don't spend the time to learn the package.,,,
A,How does the word wrap work on that?,,,
A,Do you end up with very different length lines?,,,
B,"Oh, no,",,,
B,no,,,
B,you can left and right justify the whole thing.,,,
B,It comes out just perfectly spaced like a block.,,,
A,Um.,,,
B,"It'll, it'll automatically,",,,
B,it's like typesetting.,,,
B,It'll automatically do that for you.,,,
A,And it divides the words by itself?,,,
B,Usually it doesn't divide words.,,,
A,"Oh, okay.",,,
B,They usually have it space the words in a line rather than divide a word.,,,
A,Uh-huh.,,,
B,"So, you see, like in a newspaper, they typeset.",,,
B,They don't usually break words in a newspaper.,,,
A,Right.,,,
B,"If the, if one line is going to be a lot shorter than another line, they just add spaces to that line to make it look long as the rest of the lines.",,,
A,Uh-huh.,,,
A,"They space it out in, in the line itself.",,,
B,Right.,,,
A,Oh.,,,
B,And most computers do that.,,,
A,"They,",,,
B,Most most software packages will do that for you.,,,
A,Uh-huh.,,,
B,"I've, I've known people that have used a package for, for five years, you know,",,,
B,"and I would say, well, have you, you know, you know more about this package than I do,",,,
B,how do you left justify?,,,
B,"And they would say, I don't know.",,,
