Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"I don't,",,,
A,"guess we got our first, uh, credit card, oh, back in the seventies, early seventies when, I first got married",,,
B,Uh-huh.,,,
A,"was a Visa card. Uh, issued out of a Liberty Bank in Oklahoma City,",,,
B,Uh-huh,,,
A,"because my sister worked at the, uh, the Visa some Bank Americard center there. *one utt with a.3 utt2?",,,
B,Uh-huh.,,,
A,"So, we were still in college",,,
A,and had she not worked there I'm not sure that I would have qualified.,,,
A,They've come in handy over the years.,,,
B,Yeah.,,,
A,"Uh, and they have become, or, also a, a real bother sometimes.",,,
B,"Oh, tell me about it",,,
A,"Especially, you know, if you catch yourself short on cash or if you're on vacation, it's just easier to put everything on a card.",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"And, uh, I find if you're not careful you wind up, uh, a month or so, staring those bills in the face",,,
A,and you go I don't remember doing all that stuff,,,
A,and it adds up.,,,
B,"Yeah,",,,
B,they add up quick,,,
A,"So, sometimes, uh, especially traveling with T I, you know, everything goes on American Express,",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,and it makes it a whole lot easier for bookkeeping.,,,
B,Yeah.,,,
A,"But, uh, as far as personal life goes, I guess, I really try to use them as little as possible, uh,",,,
A,"I kind of like having them for, uh, gasoline purchases.",,,
B,"Yeah,",,,
B,"we like to keep one on hand just for emergencies, you know.",,,
B,"But,",,,
A,Yeah.,,,
A,"But other than that, uh, I, I guess over the years tried to avoid the national credit card syndrome, of just putting everything on there day after day after day",,,
B,Uh-huh.,,,
A,"and then, then you really get socked to it, if you don't watch it.",,,
B,Yeah.,,,
A,"How, how do you look at counting credit cards?",,,
B,"We just, uh, quit using them",,,
A,"Well, that's,",,,
B,"And they got us in trouble,",,,
B,we took a loan and paid them all off.,,,
B,"We keep them, uh, we keep, uh, one gas card and, uh, and, uh, Visa just, you know, in case there's an emergency or, something",,,
A,Right.,,,
B,but other than that we don't use them anymore,,,
A,"Well, that's kind of the way we were doing",,,
A,"it's, uh,",,,
B,Uh-huh.,,,
A,"I guess for that very reason that, that, uh, if you're not real conscious of what you're doing, it's just too much by the time you get,",,,
B,Uh-huh.,,,
A,"well, if you got a bunch of cards, you get a bunch of bills every month",,,
B,Uh-huh.,,,
A,and for some strange reason those people think they need to get paid.,,,
B,"I know,",,,
B,isn't that funny?,,,
A,Yeah.,,,
A,"And I give them,",,,
A,"maybe not, maybe they're not really concerned about getting paid",,,
A,"because they're,",,,
A,"know if you don't, then they're adding on, what, eighteen, nineteen, twenty percent.",,,
A,"Sometimes, it's twenty-two percent interest.",,,
B,Yeah.,,,
B,"Yeah,",,,
B,"and then some of them add late fees on it, if they don't get paid",,,
A,Yeah.,,,
B,"and,",,,
A,"I guess that's one of the motivations behind the, the, uh, the, uh, American Express card with T I,",,,
B,Uh-huh.,,,
B,Huh.,,,
A,"there's no,",,,
B,Huh?,,,
A,"with the American Express card from T I, there's no, um, late fee,",,,
B,Uh-huh .,,,
A,"there's no, uh, interest rate,",,,
B,"Oh, really?",,,
A,you you either pay the thing off,,,
A,or they come get it.,,,
A,And it's turned into personnel,,,
A,and they come get you,,,
A,"So, they've got quite a bit more motivation I think to get paid then,  some  of the others do.",,,
B,"Oh,  yeah.",,,
B,Yeah.,,,
A,"But that's the one that your call center manager sees every month,",,,
B,Uh-huh.,,,
