Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, basically, uh, did you want to go first, then?",,,
B,"Uh, well, I can.",,,
B,"I, I don't own my home.",,,
A,"Okay,",,,
A,right.,,,
B,"Uh, I mean I, I live in a nice area",,,
B,and I rent my home,,,
B,"and uh, we aren't sure we're going to buy a house yet because we don't know if we're going to be staying here. In, uh, Texas,",,,
A,Uh-huh.,,,
A,"Sure,",,,
A,uh-huh.,,,
B,"so,",,,
A,Yeah.,,,
A,"I think as far as, like, our home, it's, uh, in a small residential area.",,,
A,"We're out of the cities quite a ways,",,,
A,so it's kind of more of a country setting,,,
A,"and, uh, it's just a typical, uh, three bedroom type of home.",,,
A,"It's, it's nothing, you know, elaborate where it has, uh, this or this or, you know.",,,
A,"It's, it's just a typical home with, uh, three bedrooms, uh, two story type home.",,,
B,Uh-huh.,,,
A,"Uh, and I think as far as if it's, for put it into standards of, uh, what other homes are around here, it would be just about fitting right into the middle part of where the homes are.",,,
A,"Uh, there's a river across from us which has more elaborate homes",,,
A,"and yet there's,",,,
A,"where we can view the river from that distance, there's still homes within our area that are, you know, pretty typical of what our home is,",,,
A,"so it's, uh, pretty much that, uh, type of, uh, home",,,
B,Uh-huh,,,
A,"so,",,,
B,Yeah.,,,
B,"Well, our our house, we, we're renting it from an individual who bought it",,,
B,and he lives in Korea.,,,
A,"oh, really?",,,
B,"And, uh, he's recently moved here",,,
B,"and he's owns eight or nine properties uh, near here",,,
A,Sure.,,,
A,Uh-huh.,,,
B,"and, uh, so, Which is just, uh, in trouble to me.",,,
A,Yeah.,,,
A,"Oh, yeah,",,,
A,yeah.,,,
A,Yeah.,,,
B,And they're not very expensive either.,,,
B,"It just seems like,",,,
B,we have a three bedroom house.,,,
B,Ours is one level only.,,,
A,Uh-huh.,,,
B,"Uh, but we,",,,
A,So it's the rambler style.,,,
B,"Yeah,",,,
B,"we have two, two living areas and a dining room and a big kitchen",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,yeah.,,,
B,"So,",,,
A,It's kind of like what ours is.,,,
A,"Uh, one of our bedrooms is really small",,,
A,"and we've made that into a den because we only have one child,",,,
A,"so that was our best way of going with, uh, the small bedrooms because they are making bedrooms smaller and smaller.",,,
A,It seems like they get incredibly small,,,
B,Yeah.,,,
A,"Uh, but, uh, anyway, but, okay.",,,
A,"So that sounds great,",,,
A,"and, uh, I don't know if we need to talk any more or whatever.",,,
B,Have you have you done this before?,,,
A,The T I?,,,
B,Uh-huh.,,,
A,"Uh, yes,",,,
A,"uh, about three times before.",,,
B,"Oh, have you?",,,
A,"I'm fairly new to it,",,,
A,but it seems to be going okay.,,,
B,Yeah.,,,
B,Are you in Texas?,,,
A,"No,",,,
A,huh-uh.,,,
B,"No,",,,
B,"yeah,",,,
A,"No,",,,
A,I'm out of state.,,,
A,"I'm in Wisconsin,",,,
A,"so,",,,
B,"Oh, really?",,,
A,"Yeah,",,,
A,yeah.,,,
B,Oh.,,,
A,"So it's,",,,
B,Sounds interesting.,,,
A,"Uh, other than that, sure, yeah.",,,
A,Is this your first time?,,,
B,"No,",,,
B,huh-uh.,,,
B,"I've, well, I've gotten several calls.",,,
A,Uh-huh.,,,
B,"Uh, but, uh, Yeah.",,,
A,I'm always the one that initiates the calls because I kind of like it because it's like I can get it done with,,,
A,"I don't have to wait until somebody calls me even though I have a feeling what's going to happen is I'll probably get tons of calls, you know, so, sooner or later.",,,
B,"Yeah,",,,
B,"yeah,",,,
B,"well, they've, I've talked to some people from Cleveland",,,
B,"and I did talk to someone else who lives here in the same city I do,",,,
A,Uh-huh.,,,
B,so that was kind of interesting,,,
A,"Yeah,",,,
A,yeah.,,,
A,"Yeah,",,,
A,sure.,,,
B,"They're, they're sure getting their people out,",,,
B,"so, well it was nice to talk to you, anyway",,,
A,Yeah.,,,
B,"and,",,,
A,"Okay,",,,
A,"well, you take it easy, Gail.",,,
B,"Okay,",,,
B,thanks.,,,
A,"Bye, now.",,,
B,Bye-bye.,,,
