Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, I've been real, um, thinking I'd love to buy a new car, right now, if I could afford it.",,,
B,Oh,,,
A,But we have two cars right now,,,
A,"and we're still paying on them,",,,
A,but I would love to have one of these new mini vans.,,,
A,I've got two little ones,,,
A,and I think that would be just the perfect family car,,,
B,"I,",,,
B,right now my car is terminally ill,,,
A,Oh,,,
B,"so I am really looking at, uh, facing the purchase of a car.",,,
B,"And,",,,
B,"uh, what I would like to have is so totally impractical for me that, I won't do it.",,,
B,But,,,
A,What is it?,,,
B,"Uh, well, I would like for one time in my life to have a convertible.",,,
A,Oh.,,,
B,"And, uh, you know, I don't even like the wind blowing in on me",,,
B,so I don't know why I think I want one,,,
B,but I do.,,,
B,"Uh, I will probably stay with a foreign make.",,,
B,I've had real good luck with them.,,,
A,Yeah.,,,
A,"We have, um, we have,",,,
A,we went out to buy an American car,,,
A,"so we bought, um, a Chevy Nova about three years ago.",,,
A,"And, and we opened up the, the hood",,,
A,"and it said Toyota, made in Japan, right across the front of all the engine parts",,,
B,Is that right?,,,
A,Uh-huh.,,,
A,"Toyota, uh,",,,
A,"well, the Chevy Nova is the same car as the Toyota Camry.",,,
A,"Uh, at that time was the same car",,,
A,so they just put different names on them depending on who they're being shipped to.,,,
B,"Oh,",,,
A,I thought that was pretty,,,
B,"well, I didn't realize it.",,,
B,"I knew that one of the, that Nissan which is Toyota had, uh, joined with, had a plant over here.",,,
B,"but I, I never thought of,",,,
A,Yeah.,,,
B,"I know, uh,",,,
B,you think it's a Chevrolet in the good old U S A.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
A,"That's why we were so surprised to see Toyota written, I mean, imprinted on the engine.",,,
A,It was real interesting.,,,
B,Huh.,,,
A,"But, uh, I,",,,
A,"with so many options now available, you know, where, where cars are concerned, it just seems like there is, there's almost too much of a choice anymore.",,,
A,"You know, there's so many different options and so many different prices and who has this cash back and whatever.",,,
A,"I think that if I were really serious about looking for another car, I would take into consideration the price naturally.",,,
A,"But, um, you know, I would really want something that I would want for that much money. For ten or twelve or fifteen thousand dollars or whatever.",,,
B,"Well, yeah,",,,
B,and that's minimum.,,,
A,"Oh,",,,
A,definitely,,,
B,"It, you know it's, it's a major purchase, now.",,,
B,"What we used to pay for homes is now what a car, can cost.",,,
A,"I cannot imagine that, you know, somebody,",,,
A,"I heard a commercial or something about a sixty thousand dollar car about, oh, it would, how, exciting it is to make that kind of a purchase,",,,
A,"and I thought, I don't think I'd find that exciting",,,
A,"I'd be wondering, you know, here I am buying this expensive of a car and my house isn't worth that much money",,,
B,"If they held their value, that would be one thing.",,,
A,That's true.,,,
B,"But when you consider that when you drive them off of the show lot, they're immediately two thousand dollars depreciated.",,,
A,Yeah.,,,
B,"And, you know, that,",,,
B,"I don't know that, I'll go with,",,,
B,I've bought a new car the last three that I've bought,,,
B,and I don't know that I'll buy a brand new one again.,,,
A,Yeah.,,,
A,"Well, we had a pretty,",,,
A,we bought our Chevrolet brand new,,,
A,and then we bought a used car,,,
A,"to Just a minute,",,,
A,I'll change your diaper.,,,
A,"Then we bought our, our next car used",,,
A,"and, uh, we had better luck with our used car,",,,
A,and I like it more.,,,
A,It cost us less money,,,
A,and we got more features and air-conditioning and whatever on it then we did on our brand new one for twice as much money.,,,
B,"Well, I'm, I'm seriously considering going that route instead of a brand new car.",,,
A,"If you can find one that's uh, you know, reliable",,,
A,If you can get someone that you trust to buy one from,,,
A,"or, you know, make sure that you can have it checked out well enough",,,
A,"Uh, I wouldn't",,,
B,and they don't drive them that much.,,,
A,Uh-huh.,,,
A,"Sh ,",,,
B,Six thousand is just getting broken in for them.,,,
A,Yeah.,,,
B,And if I can find one or a repossession.,,,
A,"That's,",,,
A,we bought one like that.,,,
B,"And with the banks being in such financial, you know, problems now that people,",,,
B,you can find the banks willing to sell you a car.,,,
A,Uh-huh,,,
A,We bought one car that way,,,
A,"and had,",,,
A,we bought it real reasonably,,,
A,"and it was in real nice condition so, because apparently whatever the bank get ...",,,
