Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,what kind of car are you thinking about buying next?,,,
B,"Well, what a what do we currently have,",,,
B,"I have a Subaru, uh, G O X T.",,,
A,What year?,,,
B,Eighty-eight.,,,
A,"Oh, okay.",,,
A,"Well, I have a ninety Honda Civic,",,,
A,and I'm ready to get rid of it,,,
A,"Actually,",,,
B,"Oh, it's not pretty old.",,,
A,"No,",,,
A,"uh, well, I I had an eighty-eight that I really liked",,,
A,"and it got wrecked,",,,
A,"and so I bought a ninety, um, because I, I really liked my eighty-eight",,,
A,"and I've had a lot of problems with this one,",,,
A,"so,",,,
B,"So, you think their quality control's going down over there, kind of ?",,,
A,"Well, you,",,,
A,"it's, it's kind of funny, um,",,,
A,"I know a lot,",,,
B,"Well, I, I, I think we're going to see that I think, uh, that the quality that the Japan carmakers had is slipping a little bit, while American carmakers are trying to get their, put together,",,,
A,Oh.,,,
A,Yeah.,,,
B,so.,,,
A,"It's, it's true,",,,
A,"it's definitely true because,",,,
B,"But, but that's one reason",,,
B,"I, uh, I've had no problems with my Subaru,",,,
B,"that's one reason I went with it because I, Subaru had a good reputation, uh, for, you know, low maintenance,",,,
B,so.,,,
A,"Yeah,",,,
A,"well, Honda does too that's why I was really,",,,
B,"Well, really,",,,
B,"there's, there's no question",,,
B,"but you have a nineteen,",,,
B,"I mean, I've got to see if ,",,,
B,"I mean, I've seen and I've had friends that have, uh, like, uh, eighty-one or eighty, uh, Celicas,",,,
A,Uh-huh.,,,
B,and those things just keep ticking.,,,
A,Yeah.,,,
B,"I mean, they just, they can rack up a, a hundred fifty K on them,",,,
A,That's true.,,,
B,"and they're still beating on them,",,,
A,That's true.,,,
B,and it's just amazing,,,
B,"and then they got,",,,
B,"and you know they're not making them like that now, you know,",,,
A,"No,",,,
B,"so,",,,
A,not at all.,,,
B,"but they're still, they're still a lot, I think, definitely better than the American carmaker system .",,,
A,"Oh, I, I definitely agree with you there, because I had, uh, uh, uh, Ford T Bird before I got my Honda,",,,
A,and it was the worst car I've ever owned,,,
B,Yeah.,,,
A,"and, um, that's why, I mean, I was so tickled with my Honda",,,
A,it was just a wonderful car,,,
A,and then it got wrecked,,,
A,"and, you know, I wouldn't even look at another car",,,
B,Yeah.,,,
A,"I just went and bought a Honda, I mean, I didn't even, I didn't look around or anything I just said that this is what I want,",,,
A,"and I really have had a lot of problems with it,",,,
A,but I don't know.,,,
B,"Well, maybe you need to unload it on somebody",,,
A,"Well, I'll probably hold on to it since it's still under warranty",,,
A,"but in the first twelve months that I owned it, it was in the shop an average of about once a month,",,,
A,it was in the shop about twelve times the first twelve months,,,
B,"Yeah,",,,
B,that's a lot.,,,
A,"Yeah,",,,
A,"it was,",,,
A,"I was really disappointed because I was, you know, so, hyped up on Honda,",,,
A,so.,,,
B,"Oh, well.",,,
A,Yeah.,,,
B,"Anyway,",,,
B,"so, what's your next purchase supposed to be?",,,
A,"Well, I know this,",,,
B,"Oh, really ,",,,
B,"if you had a choice of your car, what would you get?",,,
A,"Well, it's, this is going to sound really strange,",,,
A,"but I really like to have a Mazda M P V van,",,,
A,I really like those,,,
A,"and I have kids,",,,
A,so.,,,
B,I'm not sure I'm real familiar with the body style on that.,,,
A,"They're a lot,",,,
A,"I don't like the new style, like of the Toyota van, and the, the new Chevy Lumina van,",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"I don't like those styles, um, the M P V is more of, uh, uh, just, uh, I don't know what you, normal,",,,
A,"I don't know how to explain, more of an old fashioned type.",,,
A,"I, I'm not sure how to explain it,",,,
B,Yeah.,,,
A,"I mean it looks, I guess, kind of like, uh, the Chevy Aerostar or Arrow,",,,
B,Yeah.,,,
A,"no,",,,
A,what,,,
A,"Astro, Astro, I guess, is what it, something like that,",,,
B,"Oh, okay,",,,
B,yeah .,,,
A,"but I used to really like the looks of the M P V because it looks more like a mini van rather than I think,",,,
B,"Do you have, uh, do you have a family?",,,
A,"Yeah,",,,
A,I have a couple kids,,,
B,"Okay,",,,
B,"well, that's probably influenced maybe a little bit .",,,
A,"Oh, yeah,",,,
A,definitely.,,,
A,"But, I know that it's got to have a radio, it's got to have air conditioning,",,,
A,"I'm sure you can, uh, relate to air conditioning Um, living in Arizona,",,,
B,"Oh, yeah.",,,
A,"but, and cruise control and tinted windows, that's about it,",,,
A,"I mean, it's got to have those things, otherwise, I don't care.",,,
B,"Yeah,",,,
B,"well, when I bought my car, it was right out of college",,,
B,"and, uh, you know, I always been looking for something sporty",,,
B,"and I ended up getting, you know, basically something that I could, you know, afford.",,,
A,Uh-huh.,,,
B,The only gripe I have is performance.,,,
B,"I probably, uh,",,,
B,"a few girls that I've gone out with, I've had, uh, like Mazda R X sevens and stuff",,,
B,"and they're, they're pretty fun to drive,",,,
B,"so, so, I think that's what, uh, I, I'm going to have to get next time around, I keep, I keep holding off",,,
A,Yeah.,,,
A,"Oh, really?",,,
B,"and then I could, I could upgrade now if I wanted to",,,
B,"but I just, I,",,,
B,it's just such a huge expense,,,
B,"and, and, uh, I, I'm just going to keep holding off",,,
B,"but I'm definitely going to look for something, uh, in the, you know, nice, you know,",,,
A,Sports car,,,
A,"I'd like to have a sports car too,",,,
A,"but it's not practical for me,",,,
A,"but,",,,
B,Yeah,,,
B,"I'm in,",,,
B,are you still there?,,,
A,Yeah.,,,
A,Whoops.,,,
A,There's some kind of problems.,,,
A,"Hello,",,,
B,Hello.,,,
A,are you still there?,,,
B,Okay.,,,
A,"This is,",,,
A,something's wrong.,,,
B,Wonder what happened.,,,
A,"I don't know,",,,
A,"it sounds funny though, doesn't it?",,,
B,"Huh,",,,
B,"anyway, um, but I'll probably, um,",,,
A,Huh.,,,
B,"it just depends,",,,
B,"I know that's what I want,",,,
B,"but I don't know if I'll get myself to spend that kind of money,",,,
B,"you're looking at, you know, for a new R X seven or, a Supra or something,",,,
B,"you're looking at twenty-five K or something, that like",,,
A,"Oh, at least,",,,
A,"yeah,",,,
B,"and so, anyway but, Anyway my ultimate car though, the, the one that I really want is, uh, five sixty or so, Mercedes,",,,
A,"I know, well, new cars aren't cheap anyway,",,,
A,"but,",,,
B,"so,",,,
A,Huh.,,,
B,maybe someday,,,
A,"Yeah,",,,
A,"we have, we all have those kind of dreams too, don't we?",,,
B,Yeah.,,,
A,What I'd really like to have,,,
B,"That's the only one that I, you know,",,,
B,"I you know, I see, uh, you know, early on that, that, that says, it says, you there?",,,
A,Yeah.,,,
A,This is strange.,,,
B,Hello.,,,
A,"Hello,",,,
A,"I think, something's wrong with this.",,,
B,Okay.,,,
A,I hope it's recording,,,
B,"I hope it's not my ,",,,
B,you there?,,,
A,Yeah,,,
B,"It may be my phone, um,",,,
B,"anyway it's the only car that says, you know, sporty and class, uh,",,,
B,"so,",,,
A,"Yeah,",,,
A,you're right,,,
A,Yeah.,,,
B,"uh, kind of what I'm,",,,
B,"but it's,",,,
B,at the other one my brother's got a Miata,,,
B,and those are fun.,,,
A,"Oh, those are nice,",,,
B,"And, uh,",,,
A,"yeah,",,,
A,"they're, they're cute cars",,,
B,"Yeah,",,,
B,"well, he did, he had a, a red Miata,",,,
A,Uh-huh.,,,
B,"and, uh, he actually,",,,
B,"they came out with a European racing, green, uh, Miata that's a limited edition,",,,
A,Oh.,,,
B,they're only going to make like three or four thousand.,,,
B,"So, he went out",,,
B,"and he traded the other one in and got this one,",,,
A,"Wow, I haven't seen those.",,,
B,"and I'm like, um , but, uh, I haven't seen one yet either",,,
B,"but supposedly they have some real wood built in to like the clutch and all this and the steering wheel,",,,
A,Wow.,,,
B,"so, it's, it's very authentic",,,
B,"and there only is supposed to be limited edition so it may be, may be a good investment.",,,
B,"If it,",,,
A,"Oh, yeah,",,,
A,definitely.,,,
B,Yeah.,,,
A,"If it's a limited edition usually, no matter what it is, if it's a limited edition, it's usually worth something later on.",,,
B,Uh-huh.,,,
B,"But, uh, I think",,,
B,"hello,",,,
A,Yeah.,,,
B,"okay,",,,
B,"yeah,",,,
