Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Okay.,,,
B,"Well,",,,
A,"First of all, I want to tell you I have two little kids,",,,
A,but they're not in public school yet.,,,
A,"I, I get, I get that experience starting next fall with kindergarten.",,,
B,Ah.,,,
B,Yeah.,,,
A,Yeah.,,,
B,"So you haven't really, uh, dealt with that in a sense.",,,
A,No.,,,
A,"But, uh, being one of these late in life mothers, I've listened to everybody else's, you know,  complaints  as to what's the matter with either their kids or the school system.",,,
B,Yeah.,,,
A,So I've been surprised.,,,
B,Yeah.,,,
A,"Do, are, do you have school age kids",,,
B,"Uh, mine are both out of school.",,,
A,Oh.,,,
B,"And, uh, you know, I, I've, in hindsight, seen some things that I wished that, you know, I had done something about that was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what's happening up there, you know, type thing.",,,
A,Such as?,,,
B,"Uh, well, just over the years there were situations that, uh, uh, came up that I didn't think were fair or handled correctly",,,
B,or the teachers didn't seem to be teaching anything.,,,
B,"Of course, it's a little hard to tell from the information that you get from your child,  you know.",,,
A,Uh-huh.,,,
B,"They, they bring things home",,,
B,"and I was never one to believe everything my kids said,  you know, about something.",,,
B,"But, uh, still I, I questioned the ability of some of the teachers to, uh, really do a bang-up job,",,,
B,and yet others I know are just wonderful.,,,
A,"Well, I heard a, a frightening thing.",,,
A,"Actually, I didn't hear it.",,,
A,"It was told to me or suggested to me, uh, that to work as a teacher in the public school systems in the state of Texas,",,,
A,"and I think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people to teach math and sciences.",,,
B,Huh.,,,
A,"And somebody said, well, you know, you could go in and, and substitute teach at seventy-five dollars a day",,,
A,"and there's always going to be, you know, somebody having a need for a math or science teacher.",,,
A,"I thought, Christ, they're  letting me in,  to, you know,",,,
B,Yeah.,,,
A,"this would be, this would be frightening.",,,
A,I don't know anything about it.,,,
B,"That's pretty interesting because just, just because you know a subject matter  doesn't  mean you can teach it.",,,
A,Right,,,
A,Right.,,,
A,"And even if I knew how to teach the subject matter, I don't know if I'd know how to handle that kind of a, a group of kids.",,,
B,"Oh, yeah.",,,
B,"In fact, I think that's, that's one of the big problems today is the, the way the kids behave or act and, and the way they are sometimes disinterested in what's going  on in the class and disruptive.",,,
A,I tell you what I'm finding frightening,,,
A,"and this comes from, you know, the, the aging hippie near forty mother.",,,
A,"So I went through this period of supposedly, you know, cosmic social enlightenment.",,,
A,"I'm on, I'm in the Plano school system and living in Richardson,",,,
