Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,,,
B,Okay.,,,
B,"Well, uh, do you believe only fifty percent of the people actually vote?",,,
A,I think it's somewhere really close to that cause I think a lot of people believe that their one little vote is not going to make that much difference.,,,
A,And they really don't listen to any of the issues anymore.,,,
B,Huh.,,,
A,"Because they feel like so many of the politicians are like crooked, you know?",,,
B,Uh-huh.,,,
A,"And so  they figure why go out and vote, you know.",,,
A,They're going to do what they want to do.,,,
A,They're corrupt anyway,,,
A,"And  I think one of the good ways of solving that is to like, everybody likes to come to a party so have a voting party and, uh, you know, like in communities and have the issues there and then everybody go vote together and then maybe come back over and have brunch or something.",,,
B,"Well,",,,
A,"I mean that's the only,  thing that I can figure out because I've heard so many people say well I'm not going on voting on that one, you know, I, I'm going to go fishing today. Or it won't make any difference if, if I don't vote",,,
A,and I think it does.,,,
A,We vote every time.,,,
B,"Well, it, uh,  there's no question it does make a difference.",,,
B,"Uh, so far, as having a party and then all voting, uh, when you have different precincts, you would have to have a party in every precinct.",,,
A,Right.,,,
B,Because people have to vote in different areas,,,
B,"and, uh, not everyone votes at the same place.",,,
B,"Uh, I, personally, think that we need to do more along the education lines in the schools and the children from the little ones on up, with the idea of the, the value of voting and the purpose of voting and that one vote does make a difference.",,,
B,"But,",,,
A,Right.,,,
A,"And maybe let them have some mock, I  mean  uh, you know elections  and stuff  and vote for different people in their classes and start really young.",,,
B,Absolutely.,,,
B,Absolutely.,,,
A,That's a real good idea.,,,
B,"And, and they are are doing  that in a number of schools. However, probably not enough of them, uh, country wide.",,,
B,"But it's going to take at least a whole generation of people, uh, to get across the idea of voting.",,,
B,"Uh, just like it's taking a whole generation of people to finally, uh, realize the harmfulness of drugs  and  uh, hopefully to, uh, now with the many programs throughout the country on, how to resist taking drugs.",,,
A,Right.,,,
B,How to say no to it and what have you.,,,
B,"That,",,,
B,"uh, perhaps we'll finally get the youth weaned off of it.",,,
B,"But, uh, I know I, I spent thirty-four years in education here in the Dayton area",,,
B,"and in nineteen fifty-one the police were telling us about the drug dealers outside the school and how they were just giving away their marijuana, giving away their heroin and what have you, to get them started.",,,
A,Um.,,,
B,"And, you know, that was in fifty-one.",,,
B,That's forty years ago that it was already a problem.,,,
A,God.,,,
B,"So it's now, uh, to the forefront",,,
B,and people are finally taking some action against it.,,,
B,"And the thing, we've, we've neglected the value of voting.  And  uh, and what it really means to vote",,,
A,Right.,,,
B,"and we also don't make the, uh, the issues perhaps in language that people fully understand them.",,,
A,Yeah.,,,
A,Well I don't know how it is up there,,,
A,"but down here, Louisiana has a bad reputation for their politicians and all.",,,
B,Uh-huh.,,,
A,"I mean, I'm sure you heard  about  some of ours.",,,
B,Sure.,,,
B,Right.,,,
