Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,"well, my favorite, probably, all time T V show is STAR TREK.",,,
A,"And I would it like that,",,,
A,"I, I like the adventure of it. And the idea that, that we would survive long enough to get to that point and be able to do these fantastic things in space.",,,
B,Uh-huh,,,
B,Uh-huh.,,,
A,"And then I like the,",,,
A,they have a new one now.,,,
A,"The STAR TREK THE NEXT GENERATION. Which it's an all new cast, but kind of the same idea, going out to new places and, and doing new things and finding out about different people,",,,
B,Right,,,
A,"and I've, I've always liked that show probably the very best.",,,
B,Uh-huh.,,,
B,"I think I've actually seen a number of STAR TREKS, one way or another over the years. Uh, although I never watched it regularly.",,,
B,I'm certainly acquainted with the character the characters.,,,
A,Uh-huh.,,,
B,And then I've seen some of the STAR TREK movies.,,,
A,"Yeah,",,,
A,"those,",,,
A,the movies are good too.,,,
A,"And I, I guess all, most of the shows I like are, are kind of along the same line because they're all adventure",,,
B,Uh-huh.,,,
A,"When I, when I started thinking about this, that those are some of my favorite shows, MCGYVER, because it's, it's only one person there, more than, uh, you know, instead of a cast of people,",,,
B,Uh-huh.,,,
A,"but he's always going out and inventing new things out of scrap, and grabbing what he can and, you know, pieces of baling wire and, and a few tires and all of a sudden he's got a hang glider",,,
A,and,,,
B,"I don't think I, I've even heard of that show.",,,
A,You haven't?,,,
B,It's called MCGYVER?,,,
A,Uh-huh.,,,
B,"And what is, what is he?",,,
A,"He's like a semigovernment type agent. Who goes out then to, uh, works for the Phoenix Foundation, supposedly.",,,
B,Uh-huh.,,,
A,"And, uh, his big thing is that he can take pieces of, little bits and pieces of string and baling wire and turn them into fantastic different things.",,,
A,He took a car battery and some wire and two washers one time and made a welder.,,,
B,Uh-huh.,,,
A,"So he, he does all kinds of strange things like that.",,,
B,"Oh, great.",,,
B,"Boeing ought to hire him and give him a junkyard, and see if he could build a Seven Forty-Seven out of it.",,,
A,Yeah.,,,
A,See what we can come up with.,,,
A,"Do you like the, uh, news shows, TWENTY TWENTY, SIXTY MINUTES, those kind of things?",,,
B,"Well, uh, I used to watch SIXTY MINUTES as a matter of fact,",,,
B,"and uh, and I used to like the show very much.",,,
A,Uh-huh.,,,
B,"But, unfortunately I find getting rid of your T V set, you do throw out some, some of the baby, with the bath water.",,,
A,"Some of the little things,",,,
A,yeah.,,,
B,"And uh, I just decided I had to do that. I think, in part because it was easy for me to become addicted to it,",,,
