Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Okay.,,,
A,"All right,",,,
A,I had to register us in there.,,,
A,Hopefully you're a basketball fan.,,,
B,Excuse me.,,,
A,Hopefully you're a basketball fan.,,,
B,"Yeah,",,,
B,I'm from Indiana.,,,
A,"Great,",,,
A,"I'm glad you are,",,,
A,I'm not.,,,
A,I couldn't care about any of it.,,,
A,"But go ahead,",,,
A,"I, I would like to talk about, uh, maybe college basketball.",,,
A,I'd like to see it be more of an amateur sport.,,,
A,"I'd like to see it turned back to like the Southwest Conference down here,",,,
A,"I would like to see Texas and all the teams, uh,",,,
A,"since we're supposed to talk about specific teams, I would like to see them turned back to where the college player plays for four years, and then, they're not, they're not semi-pro and just go on and are stolen by the the, the League, you know, in three years,",,,
B,Uh-huh.,,,
A,"plus I'd like to see them to be true athletes where they're, they're taking a regular college course.",,,
B,Yeah.,,,
A,"You know, I'd like to see,",,,
A,"they didn't ask that, but they're talking about college teams,",,,
A,"I, you know.",,,
B,Yeah.,,,
A,"Since you're being, you can talk for hours, go ahead,",,,
A,"you, you, if you like sports go right ahead with this one.",,,
B,"Um, well, I know like what you just said, um,",,,
B,"Purdue had to, had to, uh,",,,
B,"their best player this year, you know, averaged twenty points a game",,,
A,Yeah.,,,
B,"they had to make him sit the bench. And actually kicked him off the team because, um, his, uh, grades, even though they passed Big Ten standings and they passed, you know, N C double A, they weren't, they did not pass, um, Purdue requirements.",,,
B,"And so,",,,
A,"That's surprising that they, that they have better requirements.",,,
A,That's good.,,,
B,Yeah.,,,
A,That's what I like to see.,,,
A,Go ahead.,,,
B,"And see,",,,
A,I'm all  for that.,,,
B,"so he was treated like all the rest of students, you know.",,,
A,That's great.,,,
B,"And so, um, their very best player,",,,
B,"they probably lost over half their games, because, you know, by twenty points, which is what he averaged, um,",,,
B,"and so, you know, he had to sit, you know,",,,
B,he was kicked off the team.,,,
B,"And then they've got three players, top, you know, recruiting class this year that",,,
B,"they're going to have to be, well,",,,
B,"the, the prep school they go to before they can play because they aren't smart enough.",,,
A,Oh.,,,
A,Yeah.,,,
B,"You know, it's just sad",,,
B,"because, I mean, Purdue, even though they're one of the few schools that really, uh, stress academics, they're suffering, you know",,,
B,"and,",,,
A,"Oh, I, I agree.",,,
A,"I think that that, there's a lot of inconsistencies when some conference, uh, players come from outside of Texas, you know, and play us here.",,,
A,"Uh, they're obviously practicing sixty hours a week, you know,",,,
A,and there's no consistency.,,,
A,"Seems to me, that like Purdue, when they're trying,",,,
A,a student athlete is spending so many hours in class.,,,
A,"He only has twenty, twenty-five, whatever hours he has to spend on practice.",,,
B,Yeah.,,,
A,"He should be playing, they all should be playing another team that, that has about twenty hours to practice a week.",,,
B,Like.,,,
A,But there are teams that practice sixty hours a,,,
A,"week, they're not going to class at all.",,,
A,"I mean, that's, that's what I mean by semi-pro.",,,
B,Yeah.,,,
A,There's too many semi-pros in college,,,
A,and I think they ought to get rid of that.,,,
B,That's what happened to this guy.,,,
B,"I mean, he was, uh, he didn't go to class, and so they just said, you know, you can't make the grades,",,,
B,"you're going to have to,",,,
B,see you later.,,,
A,"Well, I'm all for, I'm all for the, oh",,,
A,"baseball has a, uh, a, uh minor league system,",,,
A,"and I think that the football and basketball, they asked us to talk about basketball, should, you know, let, let them go, have a semi-pro team.",,,
A,"But I think, I'd like to see college athletes,",,,
A,let's talk about college basketball.,,,
A,I like that.,,,
B,Yeah.,,,
A,"Any basketball that I like,",,,
A,I like that.,,,
A,"I, I don't, I don't like the pros at all.",,,
B,I don't either.,,,
B,It's.,,,
A,"Uh, they're high scoring,",,,
A,"there's no defense it seems like,",,,
A,"and they just kind of score a hundred twenty five points, you know, hundred twenty-two, you know,",,,
A,and I don't really get much out of that.,,,
B,Yeah.,,,
B,"Um, yeah,",,,
B,"it is fun to watch some real disciplined teams play in, in college.",,,
A,Uh-huh.,,,
B,"And I saw Princeton, I think it was, or Harvard play this year.",,,
B,"They're like all white,",,,
B,and their starting guard had S A T scores of fifteen hundred.,,,
A,Uh-huh.,,,
B,"And it was so funny to watch them play against the other teams,",,,
B,"because, it was like, they played so much smarter and more disciplined.",,,
