Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,So what movies have you seen?,,,
B,"Uh, well, I have, uh, seen DANCES WITH WOLVES, which is probably the, the best movie that I have seen lately.",,,
B,"Uh, I do not go out to films very often. So, as far as out of the house.",,,
A,Uh-huh.,,,
B,"So we do get a lot of videos that we bring in,",,,
B,"uh, and I see some that way.",,,
B,"But, uh, I am not real current on films.",,,
B,How about you?,,,
A,Yeah.,,,
A,"I saw DANCES WITH WOLVES and, uh, HOME ALONE",,,
A,"and,",,,
B,"I hear that is really good, but I have not seen it yet.",,,
A,Yeah.,,,
A,It is.,,,
B,Yeah,,,
A,"It is about a little kid that, that his parents go off to Paris.",,,
B,Uh-huh.,,,
A,"And they, they forget all about him.",,,
A,"The oldest daughter, they take a head count and the oldest daughter counts one of the neighbor kids instead of,",,,
B,"Oh, cute.",,,
A,And he is up in the attic asleep because he got in trouble.,,,
B,"Oh, dear.",,,
A,So she made him go sleep upstairs.,,,
B,Uh-huh.,,,
A,"And there is, there is a couple of burglars, uh, breaking into the houses in the neighborhood.",,,
B,"Oh,",,,
A,"And, uh,",,,
B,"Oh, and he hears them or something",,,
B,"and,",,,
A,Yeah.,,,
A,And he sets up traps for them all over the house.,,,
B,Who wins?,,,
A,"Uh, he does.",,,
B,"Oh, great,",,,
B,great.,,,
B,"Yeah,",,,
B,"I had heard people talk about it,",,,
B,"and they say it was really cute, but I had not seen it.",,,
A,Uh-huh.,,,
B,"Uh, we usually wait",,,
B,"and eventually it comes out on video,",,,
B,and then we get it and see it that way.,,,
A,Right.,,,
B,"And that is, it,",,,
B,movies are very expensive.,,,
B,"Uh, movie theatres here, they are six dollars, uh, for evening performances.",,,
B,"And that is kind of steep,",,,
A,Uh-huh.,,,
B,I think.,,,
B,I don't know.,,,
B,How much is it in Dallas?,,,
A,"Well, it is six dollars,",,,
A,"and then but you get, um, matinee prices.",,,
A,"But,",,,
B,Yeah.,,,
B,"You can do that, but it is difficult if you, if you work or, you know,",,,
A,Uh-huh.,,,
B,"uh, that is taking the middle of the afternoon.",,,
B,"And if I am looking for entertainment usually I, I, have more, uh, time in the evening than I do in the middle of the day to, uh, see things.",,,
B,What do you think of movies in general?,,,
B,"As far as the, as the trends?",,,
A,"Well, I think they are a lot better than they than they were,",,,
A,"well, like, um, in the early eighties or the, during the, like the SMOKEY AND THE BANDIT era.",,,
B,Uh-huh.,,,
A,"When it was,",,,
A,"they,",,,
