Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"So, how do you feel about the metric system?",,,
B,"Oh, I like it.",,,
B,"I, I, I have a foreign, actually I have more than one foreign automobile.",,,
B,"And I, I, I find the, uh, I find the, the nondecimal system with all the halves and quarters,",,,
B,I was trying to build a shed,,,
B,and they give you these measurements like forty-two and three eighths inches,,,
B,"and we had to go a little less and trying to figure what's less than three eighths, uh ...",,,
A,"Yeah,",,,
A,"and it's,",,,
A,I forget how many millimeters.,,,
A,So you used the metric?,,,
B,"Well, no.",,,
B,"What we did was wind up using,",,,
B,"and you just go, you just go down",,,
B,"and, and you get out the, the, so many inches",,,
B,"and, and we just marked a little bit less than that, uh, which is somewhat awkward",,,
B,"but had it been millimeters, you could have done.",,,
B,"I think what's interesting,",,,
B,"the way engineering people do is they,",,,
B,"they, in essence, have gotten around it by, by listing, uh, decimal inches.",,,
A,"Uh, yeah,",,,
A,yeah.,,,
B,Do are you involved in any engineering drawing stuff that?,,,
A,"Uh, yeah,",,,
A,yeah.,,,
A,"Uh, I work in metal fab",,,
A,"and tenths of inches are, are normal.",,,
A,"And, you know, you know, it is broken up in, you know, the inch is broken up and has been for quite some time for, in tenths, hundredths, thousandths, ten thousandths, of an inch.",,,
B,"Well, have, have you, do you, are you involved in any other, uh, metric type things like ...",,,
A,"Yes,",,,
A,I am.,,,
A,"I, I have a Suzuki motorcycle",,,
A,"and, and I've had motorcycles, Japanese motorcycles for years and years",,,
A,and the metric system comes easy to me.,,,
A,But my  ...,,,
B,"I think  it's interesting you you know, when you go out there",,,
B,and you're looking for a wrench,,,
B,and you want the next size larger.,,,
B,"I've got, I inherited some, some stuff like fifteen thirty seconds.",,,
A,Right.,,,
B,"Well, now that one's fairly easy, because that's probably slightly under half an inch.",,,
B,"But some of them, like, like, twenty-seven",,,
B,"and, and there are some thirty seconds and some of the things that, that, uh, don't translate.",,,
A,"Yeah,",,,
A,"yeah,",,,
A,yeah.,,,
