Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Hello.,,,
A,Hello.,,,
A,My name is Nola.,,,
A,"I'm in Plano, Texas.",,,
B,"Hi Nola,",,,
B,I'm Steve.,,,
B,"I'm in Dallas, Texas.",,,
A,Not too far away.,,,
B,"No,",,,
B,that's unusual.,,,
B,"Seems like  usually,",,,
A,"I've  had some from Plano, too.",,,
B,Oh yeah.,,,
B,I think all mine have been East Coast people so far,,,
A,Uh-huh.,,,
A,Okay,,,
B,"So,",,,
A,"um, let's see.",,,
B,"social changes,",,,
A,Social changes.,,,
B,what's that mean?,,,
A,"That sounds like not as recent social changes, too, like back to the sixties or fifties, I guess",,,
B,Yeah.,,,
A,Think we can handle that?,,,
B,Yeah.,,,
B,"Yeah,",,,
B,"I definitely,",,,
B,I mean there's plenty of things to talk about there.,,,
B,"That's a,",,,
A,"Okay, uh,",,,
A,shall I go ahead and push one?,,,
B,"Yeah,",,,
B,sure.,,,
A,Okay,,,
A,You want to go ahead and start?,,,
B,"Uh, I was hoping that you would",,,
B,"but,  oh,",,,
A,Oh,,,
B,"In social changes is that,",,,
B,"uh, it seems to me that, uh,",,,
A,"That involves  a lot of different areas,  I think.",,,
B,"Does that,   Yeah.",,,
B,"Like a lot,",,,
B,"it seems like the rich are getting richer and the poor are getting poorer, is even more, true today. You know?",,,
A,"Yeah,",,,
A,"there is a a big difference in the, uh, economic, um, status of, uh, people although I think that has been true, uh, always.",,,
A,"Um, perhaps there's less of the middle range then there was.",,,
B,Yeah.,,,
B,It's like people are starting to give up hope,,,
B,and they start out very poor.,,,
B,"Let's see,",,,
B,that's a bad tangent to get on.,,,
B,What else has changed between the sixties and the eighties  and  the nineties?,,,
A,"Uh,",,,
B,No.,,,
A,"I think, uh, in my situation,",,,
A,I have three children,,,
A,"and we're, uh, home schooling.",,,
A,"So, education, you know, things that relate to education, um, are things that I think about a lot.",,,
A,"Um, I think that, and I think that involves social changes a lot.",,,
A,"Uh, for instance I think the schools are having more and more problems because of, uh, things that are happening socially in the world around them and in, in, because of their parents",,,
A,"and things that are being taught in the home are not taught in the home, rather. More not than are. And children being put in day-care centers from very early,",,,
A,"and, and I think that a lot of these things that have been happening, such as the day-care centers and things, are having a big effect on the social changes.",,,
A,"Because of the way children are being raised, they're not learning the values they need to learn.",,,
B,Yeah.,,,
A,"And they're not, um, they don't have the self-esteem that they need to have",,,
