Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Hi,,,
A,Okay.,,,
A,"Do you work with a company that, uh, gives drug testing",,,
B,Sort of.,,,
B,"I'm a, I'm a student",,,
B,"but, uh, I'm in the National Guard",,,
B,and they do a little bit of drug testing.,,,
A,"Oh, they do?",,,
B,Yeah.,,,
A,Uh-huh.,,,
A,"What, uh,",,,
A,did they do that before you went in or what?,,,
B,"Uh, they, they do it before you go in",,,
B,"and, occasionally they'll have a, a random urinalysis.",,,
A,"Oh, they will, huh?",,,
B,Yeah.,,,
B,"So you can't be smoking marijuana in, in the military anymore",,,
A,Oh.,,,
A,Okay.,,,
A,"Well, I've,",,,
A,"I worked,",,,
A,"I don't work right now because my company I worked for, P I E, went bankrupt",,,
B,Oh.,,,
A,"but, uh, they was getting a program set up, that for all new hires they was going drug, uh, give them drug tests.",,,
B,Oh.,,,
A,"But, uh, they didn't hire very many new hires because all the people that usually work there, you know, just stayed there because it was, they had been there for a long, long time.",,,
B,Uh-huh.,,,
A,"But, uh, actually, I think they should do it.",,,
B,"Yeah,",,,
B,"I, I believe they should too.",,,
A,"You know, uh, I don't think anybody needs anybody that's, to be working for them that's on drugs of any kind you know.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,definitely.,,,
A,"But, uh, I don't know whether I believe that they should just randomly do it.",,,
A,"I think they should kind of warn them, like, you know, well we're going to do that or maybe tell them before they do get hired, you know  that  this is what is going to happen.",,,
B,Oh.,,,
A,"And  then if you don't like it, why then, you know, you'll have to go look for a job someplace else.",,,
B,"Uh,",,,
B,"But after you,",,,
B,"you have, to do randomly otherwise people will cheat.",,,
A,"Well, I suppose you are right there too, you know.",,,
B,Yeah.,,,
A,"Uh,  personally I,",,,
B,"They,",,,
B,"I know  when I was doing my, uh, basic training in A I T there was guys who would fool around",,,
A,Uh-huh.,,,
B,and then when that urinalysis came around they would be all scared.,,,
A,Uh-huh.,,,
A,Uh-huh.,,,
A,Huh.,,,
B,"The only problem is, you know, if you have done drugs but you've stopped and, uh, you do get caught, it is kind of, kind of harsh.",,,
A,Uh-huh.,,,
B,Yeah.,,,
A,"Well, I suppose they fire you and everything right then, huh?",,,
A,"Or what do they do with you guys if, that you guys get,",,,
B,"Uh, we get counseling",,,
B,"and, uh, I think part of our pay is docked  if we're  first time offenders.",,,
A,"Oh I,  Oh, I see.",,,
B,"I really don't,",,,
B,"I, I haven't,",,,
B,I don't do any drugs,,,
B,so I don't know.,,,
A,"Yeah,",,,
A,well I don't either.,,,
A,I wouldn't even think about it,,,
A,"I think anybody that does them are dumb,  you know.",,,
B,Crazy.,,,
B,"Yeah,",,,
B,yeah.,,,
A,Yeah,,,
A,", really.",,,
A,"You're so stupid, God",,,
A,"and you just watch it on T V and see how it just burns your brain completely up, you know.",,,
A,"You don't,",,,
B,"Yeah,",,,
B,wastes  your future.,,,
A,"Yeah,",,,
A,"really dumb, huh.",,,
B,Yeah.,,,
A,"But, uh, Let's see, what else was I going to say here.",,,
B,"Uh, what do you think about our, uh, like, uh, other government agencies testing?",,,
B,Do you think our government agencies should test?,,,
A,"Yeah,",,,
A,I think so.,,,
A,I think they all should test really you know.,,,
B,Yeah.,,,
A,"Uh, it just seems like there is so much more of it going on anymore that, I don't know what's wrong with the people, uh,",,,
B,Yeah.,,,
A,"but I think that the, the government should do something about stopping it completely.",,,
A,About it coming into our country.,,,
A,"You know, they just slap somebody's little hand,",,,
A,"and, you know, well, don't do that again",,,
A,"and  and then  you know, they'll get out",,,
B,"Oh, I know,",,,
B,yeah.,,,
B,They aren't .,,,
A,and they're right back at it again.,,,
B,Yeah.,,,
B,"Right now it is, it's too lucrative for the drug dealers",,,
B,so the risks are worth it for them.,,,
A,Yeah.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,Yeah.,,,
A,"But, uh, other than that, why, I don't know.",,,
A,"Like I say, maybe one of these days I'll get a job because I am looking still for a part-time job, you know, since my company went bankrupt",,,
A,"and  I'll see what they do, you know.",,,
B,Yeah.,,,
A,"But, like I say, I, I wouldn't care because I, I don't, I don't even smoke",,,
A,so they can test me all I want.,,,
B,Yeah.,,,
A,I wonder what if you take medicine if that would effect it.,,,
B,"Oh see, that's,",,,
B,it is a problem.,,,
B,"Sometimes some medicines will give off a, a false positive.",,,
A,"Yeah,",,,
A,"see  now that  that would be really unfair then, huh?",,,
B,"I've heard  of, I've heard of that,",,,
B,yeah.,,,
B,Yeah.,,,
A,You know.,,,
B,I believe you should have the testing,,,
B,"but they should be, like, if you get, if you get a positive, they should double check you and still give you the benefit of a doubt.",,,
A,Yeah.,,,
A,"Find out what, you know, if you have been taking some kind of medication and, you know, if that would effect it and everything.",,,
B,"Uh-huh,",,,
B,yeah.,,,
A,"But, uh, well I guess that's about all we can talk about.",,,
A,I think our five minutes is about up anyhow.,,,
B,"Well, it was nice talking to you Rose.",,,
A,"Okay, Lewis,",,,
A,and maybe I'll talk to you again.,,,
B,Okay,,,
A,Alrighty.,,,
B,Bye-bye.,,,
A,Bye-bye.,,,
A,Bye,,,
