Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,All right,,,
A,"and, and your occupation is teaching?",,,
B,"I'm a, I'm a substitute teacher.",,,
A,Substitute teacher.,,,
B,"Is, is this Pat I'm talking to now?",,,
A,"Yes,",,,
A,"it is, it is.",,,
B,"Yeah,",,,
B,"I'm a substitute teacher, in, I believe, the same school system we both work in.",,,
A,Right.,,,
A,"Well, I was just trying to make an introduction, here",,,
B,"Oh, okay.",,,
A,"But, oh, and, and I haven't told you I'm going to be at a different school this year, now.",,,
B,Oh.,,,
A,"I've just gotten a, another job at an elementary library at Barron.",,,
B,"Well, I bet you're, you're, you may dress differently, then, for that.",,,
A,Right.,,,
A,"I,",,,
A,"well, not really.",,,
A,"I've got the, every day I've got to, uh, read to kindergartners,",,,
A,so I'm going to be down on the floor with them.,,,
A,"I've got about forty kindergartners I'm going to be doing, working with every day for, uh, you know, a half hour.",,,
A,"So I'll be, I'll probably be wearing slacks as often as I do because I'm, I'm, if I'm going to be down on the floor messing with them, I'm not going to wear nylons and, you know nice nylons and dresses.",,,
B,"Well, What I wear sometimes depends on, on how cold I think the school might be or what room I might be in since I'm a sub, and have different rooms to go to. And always carry a sweater.",,,
A,Right.,,,
A,"Well, of course, you've been at Clark enough that you know it's always cold",,,
B,Yes.,,,
A,"But, you don't know, uh, I guess at some of the other schools you go to unless you've been there.",,,
B,"No,",,,
B,"you try to layer, so you can add or, or or take off.",,,
A,Subtract.,,,
A,Right.,,,
B,"And it's, it's interesting to notice when you go to different schools that some are a little more fancier than others and have a very casual, uh,",,,
A,"I, I think some of the dress codes are different at different schools.",,,
A,"That's one of things, one of the things I ask about, you know, whether, whether she would allow slacks",,,
A,"and she said she doesn't have a problem with that,",,,
A,she just didn't like sloppy dressing.,,,
B,Uh-huh.,,,
A,"And, and I said, well, you know, that was okay.",,,
A,"And I'm,",,,
A,"basically, I just, you know, I wear slacks year round except every, about once a week I try to wear a skirt.",,,
A,"And, and in the winter, you know, I just add a, maybe wear longer sleeve shirts than I do in the summer. And add a heavier jacket or, you know, wear jackets more in the winter than I do in the summer.",,,
B,Uh-huh.,,,
A,"That's about,",,,
A,"I don't, I don't really work in a profession that requires that I wear a business suit and, you know, look really,",,,
B,"Right,",,,
B,"and, well, for me sometimes, they even have dress up days",,,
B,"or they, you know, have, have spirit week that, that you wear your different outfits",,,
A,Yeah,,,
B,"and you have to have the color for that particular school if you, if you choose to participate in spirit week.",,,
A,Right.,,,
B,And one might be a hat day where you have to come up with some sort of hat.,,,
A,"And you never know that, though sometimes when you're going in, do you?",,,
B,"No,",,,
B,"but because I sort of stick to several schools, uh, I'm usually aware that there might be a spirit week going on and, and might, might remember to do it.",,,
A,"Right,",,,
A,right.,,,
B,"And then many schools on a particular day during, uh, I guess football season, maybe all year long, they wear the school colors for, uh, game day which,",,,
A,Right.,,,
A,"On what, Thursday.",,,
B,"Right,",,,
B,it might be Thursday for the high schools,,,
B,and it may be Friday for the senior high schools.,,,
A,"Right,",,,
A,right.,,,
A,"So that would kind of give you a, a clue, I guess",,,
A,"and, and sometimes you get the long term stuff",,,
A,so you're aware ahead of time of what's going on.,,,
B,Yeah.,,,
A,"That,",,,
A,"so that's,",,,
A,"and I don't know, you know,",,,
A,"I, I think about, well, the dress code they have for the kids, you know.",,,
A,Are,,,
A,"they put one on the parents, or the teachers and say they have to, the men have to wear ties",,,
A,and there can be no blue jeans worn,,,
A,"and, because some of the teachers I know wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had dry cleaned so they have got the crease",,,
B,Uh-huh.,,,
A,"and, uh, you know, they'll wear it with a nice top.",,,
A,"And, and, uh, I don't know that that looks that bad.",,,
A,"But, if you're going to tell the kids they have to dress up, I guess you can tell the teachers that, too.",,,
B,"Yeah,",,,
B,"it, it,",,,
B,"I see that the,",,,
B,"I think the elementary school teachers, or maybe even the middle school teachers dress a little fancier than, than some of the high school teachers, I think.",,,
A,Uh-huh.,,,
B,"But it, I think it varies, it, it just so much.",,,
B,"Anything, anything can go.",,,
A,Uh-huh.,,,
B,"And you can see in some of the departments in some of the schools, like history at Clark, they're all pretty fancy.",,,
