Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay, uh,",,,
A,"could you tell me what you think contributes most to, uh, air pollution?",,,
B,"Well, it's hard to say.",,,
B,"I mean, while it's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution is say kicked up by an active volcano, uh, it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.",,,
B,What do you think?,,,
A,"Um, well, you talked about, uh, volcanos.",,,
A,"I'm not sure how many active volcanos there are now, and, and what the amount of material that they do, uh, put into the atmosphere.",,,
A,"I think probably the greatest cause is, uh, vehicles, especially around cities.",,,
B,Uh-huh.,,,
A,"Um, uh, do you live right in the city itself?",,,
B,"No,",,,
B,"I'm more out in the suburbs,",,,
B,but I certainly work near a city.,,,
A,"Okay,",,,
A,"so Can you notice,",,,
B,How about you?,,,
A,"well it's, it's,",,,
A,I live in a rural area.,,,
B,Uh-huh.,,,
A,"It's mainly farms and, uh, no heavy industry.",,,
A,"Attleboro, itself,",,,
A,I live in Rhode Island.,,,
B,"Oh, I see.",,,
A,"And, it's in the north,",,,
A,"I live up in the, uh, northeast corner",,,
A,"and Attleboro sits in just over the line, where T I's plant is,",,,
B,Uh-huh.,,,
A,but there isn't a lot of heavy industry.,,,
A,There's the freeways,,,
A,"and we get an occasional,",,,
A,"it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,",,,
A,so we'll pick up that.,,,
A,"And, uh, I've noticed over the past say, maybe five or six years, uh,",,,
A,we live about twenty miles away from the state airport,,,
A,"and I notice that the fly patterns now of the jets are getting bigger,",,,
A,"they're swinging wider so that now they are coming over, over our homes.",,,
B,Uh-huh.,,,
A,"And, it seems like, uh, we're catching all that residue.",,,
A,I'm not sure if it's kerosene or what that's dropping.,,,
A,"But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.",,,
B,Yeah.,,,
B,You mean like from the coal.,,,
A,"Yeah,",,,
A,"yeah,",,,
A,"we generate,",,,
A,"one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.",,,
B,"Um,",,,
A,"Um, there doesn't seem to be much emission from them,",,,
A,but I'm not sure about the rest of the country.,,,
B,"Yeah,",,,
