Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,All right.,,,
A,What is your favorite show?,,,
B,"Well, I was just trying to think.",,,
B,"When they called, I didn't have as much time to prepare for this as I did some of the others.",,,
B,"Um, I love watching some of the, uh, new, new shows basically.",,,
A,Uh-huh.,,,
B,"And we, uh, we subscribe to C N N",,,
B,"and we took that,",,,
B,"and we started watching a lot of those especially during the war or during anything kind of thing like the earthquake,",,,
B,and I have gotten stuck on a lot of this.,,,
B,"The new shows and the stuff that comes on that, that it, you know,",,,
B,"like the, uh, at night the discussion talk shows and things.",,,
A,Uh-huh.,,,
B,"And we really haven't gotten a lot into the sitcoms that are current, uh, especially with the kids here because we have to kind of filter it before they get here.",,,
A,Sure.,,,
B,We have little ones.,,,
B,"Uh, we do let them watch NINE ONE ONE,",,,
A,Uh-huh.,,,
B,"and  we think that's kind of informative to teach them,  how to handle  things in situations.",,,
A,It really is.,,,
A,Uh-huh.,,,
B,What do you watch?,,,
A,"I watch just about anything,  but  not a lot of,  T V.",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"I mean I'll watch, you know, maybe a little while when I first get home in the evening.",,,
B,Uh-huh.,,,
A,"And I usually watch, you know, the news",,,
A,"and then I'll watch that HARD COPY or or that kind of thing, you know,",,,
B,Uh-huh.,,,
B,That's the same thing we do.,,,
A,"and I like the NINE ONE ONE,  and  UNSOLVED MYSTERIES.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,"that kind, that's the kind I like really more than,  the sitcoms.",,,
A,Uh-huh.,,,
B,"I haven't gotten,  into many of those.",,,
A,"Now, I do,  like,",,,
A,"my husband is really crazy about EVENING SHADE that comes on, on Monday evening.",,,
B,I have heard that's real good.,,,
A,"And I,  uh,",,,
B,"That's,  Burt Reynolds, isn't it?",,,
A,Uh-huh.,,,
B,"Yeah,",,,
B,I've heard that.,,,
A,And I've got to where every Monday I rush around so I could sit and watch that with him because it's really funny.,,,
B,Now someone told me that,,,
B,"and also, uh, I meant to be trying to pick up on MURPHY BROWN,  because they  said that that was really good this season.",,,
A,Uh-huh.,,,
A,"Well, his favorite night is Monday night",,,
A,"so we've got to where we will sit,  and watch it on  Monday night,",,,
B,"You've got to yeah,",,,
B,Uh-huh.,,,
A,"because  that and then that, uh, oh,",,,
A,I can't even think of the name of it.,,,
A,"Like I say I'm not,",,,
B,"DESIGNING WOMEN is on that night,  too.",,,
A,"Yeah,",,,
A,"and the one with the, the sergeant that married the woman with the kids, Sergeant McGillis .",,,
B,"Huh, I don't even  know.",,,
A,"Sergeant,  uh, MAJOR DAD.",,,
B,"Oh, okay.",,,
B,"Now I,  we've never  even seen that.",,,
A,"Yeah,",,,
A,"that comes on right after, uh, the EVENING SHADE and then MURPHY BROWN,  and  DESIGNING WOMEN.",,,
B,Uh-huh.,,,
A,"So we always, he watches that",,,
A,"and I kind of I watch the first one then kind of sit in on the others,  as I can.",,,
B,On the others.,,,
B,"Well, you know, on Friday nights especially, we like to watch TWENTY TWENTY.",,,
A,Uh-huh.,,,
B,"Or, um,",,,
A,Uh-huh.,,,
B,It's kind of a competition on Thursdays between PRIME TIME and KNOTS LANDING.,,,
A,Yeah.,,,
B,"But, uh, we used to like KNOTS LANDING a lot.",,,
B,"Oh, excuse me just a minute to someone in the",,,
B,The money is right there on the thing and the coupon.,,,
A,"Well, you can't hardly watch KNOTS LANDING with the little kids around though.",,,
B,"Oh, I know.",,,
B,That's the thing.,,,
B,"And so,  we,",,,
A,"Except they,   probably are in bed,  by nine.",,,
B,Uh-huh.,,,
B,"Well, they are.",,,
B,"In fact, on weeknights they are in bed by eight,",,,
B,but we have just gotten any more that where we just keep it off.,,,
A,Did you get your pizza taken care of?,,,
B,"Yeah,",,,
B,he has gone to get it.,,,
B,Thank you,,,
B,"Um, but I was to say on Saturdays there is absolutely nothing",,,
B,"and that's the day my husband,  wants to .",,,
A,"Well, do you know,",,,
A,I have picked up a show lately on Saturday night that I've really liked,,,
A,and that's SISTERS.,,,
A,Have you watched that?,,,
B,"No,",,,
B,but I saw that advertised today,,,
B,and it sounds like it's not fluff.,,,
B,It sounds like it's good.,,,
A,"It's really, you know, it's really pretty good.",,,
B,Uh-huh.,,,
A,"I mean,  it's kind of like, you know, um, soap opera  I guess.",,,
B,"Yeah,",,,
B,"that's what they said it was kind of,  a little more  drama to it.",,,
A,"But it's a,",,,
A,"So far it, I've watched it about three times now",,,
A,and it's really held my attention.,,,
A,"It's been pretty good. Some,  pretty good  acting.",,,
B,"Well, and  and another one now that it's getting darker",,,
B,"and you are wanting to cocoon more,",,,
B,that they said is excellent is the I'LL FLY AWAY and BROOKLYN BRIDGE.,,,
B,"Some of these,  that are nostalgic.",,,
A,"Now I watched,  BROOKLYN BRIDGE this week for the first time,",,,
B,"Did you,  like it?",,,
A,"but I haven't,",,,
A,I did.,,,
A,I  liked it.,,,
B,Did you?,,,
B,"Well, they said that one and I'LL FLY AWAY are really quality, you know",,,
B,"and,",,,
A,Now I haven't seen I'LL  FLY AWAY yet.,,,
B,I haven't seen it either.,,,
B,"I think what I need to do is kind of read to see what is on these days because by the time we get the kids in bed at eight o'clock and then I get my bath it's, you know, it's almost too late to start,  something new.",,,
A,Uh-huh.,,,
A,"It's nearly,  too late for T V.",,,
B,Yeah.,,,
A,That's  the way I am.,,,
A,"I get  in,  from work",,,
B,Yeah.,,,
A,and I'm tired,,,
A,and I sit and watch for a few minutes,,,
A,"so I have to get up and do dinner,  and everything.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,and then we've gotten to where we rent videos for weekend nights.,,,
A,Uh-huh.,,,
B,"So, it's like,  we are kind of,   tuned out of our T V.",,,
A,Yeah.,,,
A,That's us.,,,
A,"If we are home on the weekend, we always watch videos,",,,
A,so.,,,
B,"Yeah,",,,
B,"well, we do too.",,,
A,But there are some good shows on.,,,
A,"I, I really probably should watch more of them than I do.",,,
B,Yeah.,,,
A,"But I like,",,,
A,I don't know,,,
A,"I, I'm always in to making things",,,
A,"and,  And I don't just spend all my time,",,,
B,"I don't know,",,,
B,yeah.,,,
B,"There's a lot more to do with,  with your time when you get into it.",,,
A,"and I, my husband, now he sits and watches T V constantly.",,,
B,Uh-huh.,,,
B,"Well, my, my sister and them and her husband do on weekends.",,,
B,"They don't have children yet,",,,
B,"and they just turn it on when they walk in,",,,
B,they turn it off when they leave.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,So they are used to  that too.,,,
A,I could  be around here for hours by myself and never  have it on.,,,
B,"Yeah,",,,
B,I understand.,,,
B,Same here.,,,
A,"But, uh,  but there are some really good new shows that I have enjoyed,",,,
A,and I'll have to watch that I'LL FLY AWAY this week.,,,
B,"Yeah,",,,
B,it's real good.,,,
B,"And then of course, in the afternoons if I get in from work in time I watch OPRAH, some of those,  you know,  talk shows.",,,
A,Yeah.,,,
B,I like her.,,,
A,I never get in in time for any of those.,,,
B,Yeah.,,,
A,Yeah.,,,
B,"Well, it's, it's nice talking to you.",,,
B,"I guess we've kind of exhausted this one,",,,
B,but it's nice talking with you.,,,
A,"Well, it's nice talking with you.",,,
B,Thank you.,,,
A,Bye.,,,
B,Bye-bye.,,,
